# key   check__PYC_CSDCPA1_2_PYC_CSLADDER_3_PYC_NILSTORE_0__ae16c44e+0e9deefa
# mode  check   env: PYC_CSDCPA1=2 PYC_CSLADDER=3 PYC_NILSTORE=0
# tree  ae16c44e+0e9deefa
# content de1028f950ca
# date  2026-09-09T10:43:25-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	243	847	7	4	5
adatron	0	10	134	124	-	421	1066	48	13	18
amaze	0	13	134	0	-	695	2016	46	11	17
ant	0	0	0	0	NO	264	748	20	7	9
astar	0	0	0	0	yes	48	480	2	2	2
bh	0	11	134	124	-	372	1136	17	9	13
block	0	0	0	0	NO	278	893	12	9	11
brainfuck	0	0	0	0	NO	122	615	5	5	5
chaos	0	5	0	124	-	491	1197	30	9	16
chess	0	0	124	124	-	560	1432	53	12	19
chull	0	0	139	124	-	578	1196	53	14	29
circle	0	0	0	0	NO	122	601	6	6	6
collatz	0	0	0	0	NO	168	619	9	5	8
dijkstra	0	8	0	0	NO	283	903	19	6	8
dijkstra2	0	5	124	0	-	373	1090	41	15	21
doom	0	210	134	1	-	201	922	14	7	9
fysphun	0	0	0	0	yes	247	700	10	8	9
genetic	0	0	0	0	NO	173	717	6	5	5
genetic2	0	3	134	0	-	398	1007	28	10	11
go	0	15	0	0	NO	655	1542	36	12	15
hq2x	0	0	0	124	-	606	2172	10	5	6
kanoodle	0	6	139	0	-	518	1256	112	8	19
kmeanspp	0	4	134	124	-	66	550	3	3	3
life	0	17	134	0	-	242	759	17	8	8
linalg	0	112	134	0	-	652	1427	51	4	13
loop	0	0	124	0	-	335	946	23	12	16
lz2	0	39	134	0	-	171	781	8	5	8
mandelbrot	0	0	0	0	NO	97	527	2	2	2
mandelbrot2	0	0	0	0	NO	307	874	29	9	14
mao	0	3	0	124	-	312	870	13	8	9
mastermind2	0	42	134	0	-	370	1120	20	8	9
minilight	0	14	134	124	-	222	1170	10	8	8
minpng	0	9	0	0	NO	115	575	7	6	6
msp_ss	0	264	0	0	yes	862	2499	82	15	22
mwmatching	0	10	134	0	-	67	546	3	3	3
nbody	0	0	0	0	NO	113	606	4	4	4
neural1	0	28	139	0	-	266	862	18	10	14
neural2	0	0	0	0	NO	209	782	23	5	9
oliva2	0	0	0	124	-	201	683	10	4	6
othello	0	8	134	0	-	202	713	27	8	11
othello2	0	80	134	0	-	301	1090	12	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	852	8	7	7
pisang	0	0	134	124	-	348	892	21	6	8
plcfrs	1	342	-	-	-	1357	2696	129	27	48
pygasus	0	53	134	124	-	1650	3277	36	7	12
pygmy	0	0	0	124	-	807	3364	16	9	9
pylife	0	0	124	0	-	416	1308	23	7	12
pystone	0	0	0	0	NO	171	662	10	5	7
quameon	1	104	-	-	-	1222	2700	113	17	33
rdb	1	117	-	-	-	1000	2381	109	16	35
richards	0	7	139	124	-	210	816	6	5	6
rsync	0	38	134	1	-	100	597	6	6	6
rubik	0	183	134	0	-	716	3530	109	11	20
rubik2	0	0	124	124	-	440	1033	44	8	20
sat	0	19	134	0	-	107	657	5	5	5
score4	0	0	0	124	-	224	744	13	8	11
sha	0	0	0	0	NO	316	909	21	5	9
sieve	0	0	0	0	NO	250	752	17	5	11
softrender	0	76	134	0	-	809	2006	62	15	24
sokoban	0	25	0	0	NO	85	586	4	4	4
solitaire	0	6	124	0	-	238	847	26	8	9
stereo	0	0	0	0	yes	143	696	8	6	8
sudoku1	0	9	0	0	NO	219	821	13	7	9
sudoku2	0	0	0	0	NO	467	1272	45	11	15
sudoku3	1	134	-	-	-	736	2060	41	11	20
sudoku4	0	45	134	0	-	485	1294	30	13	18
sudoku5	1	249	-	-	-	1104	2634	61	17	28
sunfish	0	51	134	0	-	112	806	13	4	6
tarsalzp	0	231	139	0	-	502	1692	10	5	7
tictactoe	0	0	0	0	NO	375	1139	24	8	9
timsort	0	32	134	124	-	197	773	2	2	2
tonyjpegdecoder	0	0	124	0	-	570	1675	35	7	18
voronoi	0	0	0	0	NO	158	645	9	5	5
voronoi2	0	49	0	0	NO	454	1466	34	14	19
webserver	0	14	124	124	-	389	1118	18	9	10
yopyra	0	20	124	124	-	341	1049	13	10	10
DONE
