# key   check__PYC_CSDCPA1_2_PYC_CSLADDER_3__20f76f27+62a5a8d4
# mode  check   env: PYC_CSDCPA1=2 PYC_CSLADDER=3
# tree  20f76f27+62a5a8d4
# content dd6c5adc7407
# date  2026-09-07T15:10:27-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	233	830	6	4	5
adatron	0	10	134	124	-	406	1064	49	13	19
amaze	0	13	134	0	-	722	2054	75	11	17
ant	0	0	0	0	NO	259	748	24	7	9
astar	0	0	0	0	yes	48	480	2	2	2
bh	0	12	134	124	-	406	1163	20	9	13
block	0	0	0	0	NO	302	912	20	9	11
brainfuck	0	0	0	0	NO	122	614	4	4	4
chaos	0	5	0	124	-	486	1198	36	9	16
chess	0	0	124	124	-	771	2451	72	12	19
chull	0	6	1	124	-	558	1216	59	14	29
circle	0	0	0	0	NO	122	600	5	5	5
collatz	0	0	0	0	NO	173	625	14	5	7
dijkstra	0	10	0	0	NO	284	910	26	6	8
dijkstra2	0	5	124	0	-	376	1110	49	15	21
doom	0	210	134	1	-	201	937	29	7	9
fysphun	0	0	0	0	yes	247	704	17	8	9
genetic	0	0	0	0	NO	173	720	9	5	5
genetic2	0	3	134	0	-	401	1012	33	10	11
go	0	15	0	0	NO	661	1545	59	12	17
hq2x	0	0	0	0	NO	618	2184	18	5	6
kanoodle	0	6	139	0	-	554	1299	147	8	19
kmeanspp	0	4	134	124	-	66	550	3	3	3
life	0	17	134	0	-	244	763	20	8	8
linalg	0	50	134	0	-	923	1895	134	5	15
loop	0	0	124	0	-	348	960	30	12	16
lz2	0	39	134	0	-	171	781	8	5	8
mandelbrot	0	0	0	0	NO	97	527	2	2	2
mandelbrot2	0	0	0	0	NO	415	1197	48	9	14
mao	0	3	0	124	-	316	875	19	8	9
mastermind2	0	54	134	0	-	405	1165	46	8	9
minilight	0	14	134	124	-	222	1173	13	8	8
minpng	0	9	0	0	NO	115	578	10	6	6
msp_ss	0	264	0	0	yes	950	2636	113	15	22
mwmatching	0	10	134	0	-	67	546	3	3	3
nbody	0	0	0	0	NO	113	606	4	4	4
neural1	0	28	139	0	-	278	876	27	10	14
neural2	0	0	0	0	NO	212	784	25	4	8
oliva2	0	0	0	124	-	201	687	14	4	6
othello	0	8	134	0	-	206	723	30	8	11
othello2	0	80	134	0	-	304	1095	16	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	855	11	7	7
pisang	0	0	134	124	-	365	926	28	6	9
plcfrs	1	518	-	-	-	1701	5169	162	25	49
pygasus	0	3	134	124	-	1660	3359	115	11	19
pygmy	0	0	0	124	-	809	3369	20	9	9
pylife	0	0	124	0	-	660	2486	39	7	17
pystone	0	0	0	0	NO	175	666	13	5	7
quameon	0	89	134	0	-	1277	2766	177	17	32
rdb	1	120	-	-	-	1106	2533	147	16	34
richards	0	4	0	124	-	208	816	6	4	5
rsync	0	38	134	1	-	101	603	12	6	6
rubik	0	183	134	0	-	1015	4425	240	11	24
rubik2	0	0	124	124	-	392	973	46	8	20
sat	0	19	134	0	-	107	656	4	4	4
score4	0	0	0	124	-	221	748	17	8	11
sha	0	0	0	0	NO	346	966	38	5	9
sieve	0	0	0	0	NO	250	755	20	5	11
softrender	0	76	134	0	-	844	2051	94	15	24
sokoban	0	25	0	0	NO	85	586	4	4	4
solitaire	0	6	124	0	-	238	848	28	8	9
stereo	0	0	0	0	yes	178	970	189	6	9
sudoku1	0	15	0	0	NO	235	851	31	7	9
sudoku2	0	0	0	0	NO	642	1609	75	11	15
sudoku3	0	36	134	0	-	518	1403	62	8	16
sudoku4	1	77	-	-	-	636	1548	43	13	16
sudoku5	1	218	-	-	-	859	2417	68	16	31
sunfish	0	51	134	0	-	112	805	12	4	6
tarsalzp	0	231	139	0	-	560	1768	34	5	6
tictactoe	0	0	0	0	NO	414	1177	33	8	9
timsort	0	32	134	124	-	197	773	2	2	2
tonyjpegdecoder	0	0	124	0	-	590	1695	52	7	18
voronoi	0	0	0	0	NO	158	648	12	5	5
voronoi2	0	49	0	0	NO	459	1474	40	14	19
webserver	0	6	124	124	-	384	1137	37	9	10
yopyra	0	20	124	124	-	358	1065	20	10	10
DONE
