# key   check__PYC_CSDCPA1_2_PYC_CSLADDER_3__27ffb6e5+a58dbd70
# mode  check   env: PYC_CSDCPA1=2 PYC_CSLADDER=3
# tree  27ffb6e5+a58dbd70
# content 005912298733
# date  2026-09-06T10:27:37-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	233	829	6	4	5
adatron	0	10	134	124	-	426	1065	47	12	17
amaze	0	13	134	0	-	747	1996	70	10	16
ant	0	0	0	0	NO	263	742	17	6	8
astar	0	0	0	0	yes	48	480	2	2	2
bh	0	12	134	124	-	426	1167	20	9	13
block	0	0	0	0	NO	282	893	12	8	10
brainfuck	0	0	0	0	NO	122	614	4	4	4
chaos	124	0	-	-	-	507	1179	29	8	15
chess	0	0	124	124	-	1010	3097	79	12	18
chull	0	6	1	124	-	590	1222	57	14	29
circle	0	0	0	0	NO	122	599	5	5	5
collatz	0	0	0	0	NO	173	621	10	5	7
dijkstra	0	8	0	0	NO	290	922	25	6	8
dijkstra2	0	5	124	0	-	373	1107	53	15	21
doom	0	209	134	1	-	200	918	11	7	9
fysphun	0	0	0	0	yes	248	704	17	8	9
genetic	0	0	0	0	NO	173	720	9	5	5
genetic2	0	3	134	0	-	402	1011	32	10	11
go	0	15	0	0	NO	717	1610	59	12	17
hq2x	0	0	0	0	NO	633	2190	19	5	8
kanoodle	1	6	-	-	-	585	1298	136	8	18
kmeanspp	0	4	134	124	-	66	550	3	3	3
life	0	17	134	0	-	247	769	20	8	8
linalg	1	355	-	-	-	635	1612	47	4	13
loop	0	0	124	0	-	365	969	32	12	14
lz2	0	39	134	0	-	171	780	8	5	8
mandelbrot	0	0	0	0	NO	97	527	2	2	2
mandelbrot2	0	0	0	0	NO	300	970	35	9	14
mao	0	3	0	124	-	314	872	19	8	9
mastermind2	0	54	134	0	-	406	1156	36	8	9
minilight	0	14	134	124	-	222	1164	9	7	7
minpng	0	9	0	0	NO	115	578	10	6	6
msp_ss	0	264	0	0	yes	837	2485	86	15	23
mwmatching	0	10	134	0	-	67	545	3	3	3
nbody	0	0	0	0	NO	121	608	4	4	4
neural1	0	31	139	0	-	317	896	18	9	13
neural2	0	0	0	0	NO	221	787	28	4	8
oliva2	0	0	0	124	-	202	687	14	4	6
othello	0	8	134	0	-	208	712	25	8	11
othello2	1	90	-	-	-	310	1094	15	9	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	1	0	-	-	-	205	847	7	6	6
pisang	0	0	134	124	-	379	926	23	5	8
plcfrs	1	740	-	-	-	1786	4992	118	25	48
pygasus	0	54	134	124	-	1709	3389	108	7	16
pygmy	1	0	-	-	-	1391	6197	36	9	10
pylife	0	0	124	0	-	660	2486	39	7	17
pystone	1	3	-	-	-	179	668	12	6	8
quameon	1	537	-	-	-	1297	2900	177	19	36
rdb	1	438	-	-	-	1560	4990	145	19	46
richards	1	4	-	-	-	229	839	17	4	6
rsync	0	38	134	1	-	101	603	12	6	6
rubik	0	102	134	0	-	1016	4359	230	10	23
rubik2	0	0	124	124	-	387	981	37	7	22
sat	0	19	134	0	-	107	656	4	4	4
score4	0	0	0	124	-	233	745	14	8	11
sha	0	0	0	0	NO	341	956	33	4	8
sieve	0	0	0	0	NO	250	755	20	5	11
softrender	0	76	134	0	-	921	2047	76	15	24
sokoban	0	25	0	0	NO	85	585	4	4	4
solitaire	0	6	124	0	-	253	857	31	7	8
stereo	0	0	0	0	yes	180	973	192	6	9
sudoku1	0	9	0	0	NO	255	855	26	7	9
sudoku2	0	0	0	0	NO	520	1327	50	11	15
sudoku3	0	65	134	0	-	586	1466	58	8	19
sudoku4	0	22	134	0	-	439	1161	40	13	16
sudoku5	0	24	0	0	NO	658	1454	59	14	19
sunfish	0	50	134	0	-	111	805	12	4	6
tarsalzp	0	231	139	0	-	569	1751	14	4	5
tictactoe	0	0	0	0	NO	532	1449	48	8	9
timsort	0	32	134	124	-	197	773	2	2	2
tonyjpegdecoder	0	0	124	0	-	567	1656	46	6	19
voronoi	0	0	0	0	NO	158	644	8	4	4
voronoi2	0	45	0	0	NO	473	1474	34	14	20
webserver	0	6	124	124	-	388	1128	27	9	10
yopyra	0	20	124	124	-	402	1138	18	9	9
DONE
