# key   check__PYC_CSDCPA1_2_PYC_CSLADDER_3__7c40f15c+ab997699
# mode  check   env: PYC_CSDCPA1=2 PYC_CSLADDER=3
# tree  7c40f15c+ab997699
# content 0e397f172c06
# date  2026-09-06T12:29:16-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	233	830	6	4	5
adatron	0	10	134	124	-	426	1065	47	12	17
amaze	0	13	134	0	-	750	1997	70	10	16
ant	0	0	0	0	NO	253	737	17	6	8
astar	0	0	0	0	yes	48	480	2	2	2
bh	0	12	134	124	-	415	1166	19	9	13
block	0	0	0	0	NO	280	893	12	8	10
brainfuck	0	0	0	0	NO	122	614	4	4	4
chaos	0	5	0	124	-	492	1204	32	9	16
chess	0	0	124	124	-	1011	3134	82	12	18
chull	0	0	1	124	-	501	1159	52	14	29
circle	0	0	0	0	NO	122	600	5	5	5
collatz	0	0	0	0	NO	173	621	10	5	7
dijkstra	0	10	0	0	NO	284	908	25	6	8
dijkstra2	0	5	124	0	-	372	1108	52	15	21
doom	0	209	134	1	-	200	920	12	7	9
fysphun	0	0	0	0	yes	247	704	17	8	9
genetic	0	0	0	0	NO	173	720	9	5	5
genetic2	0	3	134	0	-	398	1009	32	10	11
go	0	15	0	0	NO	677	1556	59	12	17
hq2x	0	0	0	0	NO	632	2191	20	5	8
kanoodle	0	6	139	0	-	556	1301	148	8	18
kmeanspp	0	4	134	124	-	66	550	3	3	3
life	0	17	134	0	-	245	763	20	8	8
linalg	1	189	-	-	-	581	1380	43	4	15
loop	0	0	124	0	-	356	960	27	11	13
lz2	0	39	134	0	-	171	781	8	5	8
mandelbrot	0	0	0	0	NO	97	527	2	2	2
mandelbrot2	0	0	0	0	NO	300	970	35	9	14
mao	0	3	0	124	-	314	875	19	8	9
mastermind2	0	54	134	0	-	397	1147	32	7	8
minilight	0	14	134	124	-	222	1169	9	7	7
minpng	0	9	0	0	NO	115	578	10	6	6
msp_ss	0	235	0	0	yes	818	2408	83	15	23
mwmatching	0	10	134	0	-	67	546	3	3	3
nbody	0	0	0	0	NO	113	606	4	4	4
neural1	0	31	139	0	-	298	889	18	9	13
neural2	0	0	0	0	NO	221	787	28	4	8
oliva2	0	0	0	124	-	202	687	14	4	6
othello	0	8	134	0	-	210	715	25	8	11
othello2	1	90	-	-	-	306	1092	14	9	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	851	7	6	6
pisang	0	0	134	124	-	366	921	23	5	8
plcfrs	1	679	-	-	-	1767	5935	87	23	42
pygasus	0	54	134	124	-	1682	3385	108	7	16
pygmy	0	0	0	124	-	805	3367	19	9	9
pylife	0	0	124	0	-	660	2486	39	7	17
pystone	1	3	-	-	-	179	668	12	6	8
quameon	1	309	-	-	-	1289	2760	153	19	35
rdb	1	113	-	-	-	1051	2473	113	16	35
richards	1	4	-	-	-	208	819	9	4	6
rsync	0	38	134	1	-	101	603	12	6	6
rubik	0	102	134	0	-	1013	4353	230	10	23
rubik2	0	0	124	124	-	414	978	40	7	22
sat	0	19	134	0	-	107	656	4	4	4
score4	0	0	0	124	-	231	745	14	8	11
sha	0	0	0	0	NO	344	962	37	5	9
sieve	0	0	0	0	NO	250	755	20	5	11
softrender	0	76	134	0	-	922	2032	70	15	24
sokoban	0	25	0	0	NO	85	586	4	4	4
solitaire	0	6	124	0	-	253	858	31	7	8
stereo	0	0	0	0	yes	178	973	192	6	9
sudoku1	0	9	0	0	NO	255	855	26	7	9
sudoku2	0	0	0	0	NO	680	1651	76	11	15
sudoku3	139	133	-	-	-	652	1634	54	9	23
sudoku4	0	21	134	0	-	448	1191	39	13	16
sudoku5	1	125	-	-	-	768	1857	58	13	22
sunfish	0	50	134	0	-	111	805	12	4	6
tarsalzp	0	231	139	0	-	560	1748	14	4	5
tictactoe	0	0	0	0	NO	464	1379	43	8	9
timsort	0	32	134	124	-	197	773	2	2	2
tonyjpegdecoder	0	0	124	0	-	567	1656	46	6	19
voronoi	0	0	0	0	NO	158	644	8	4	4
voronoi2	0	49	0	0	NO	476	1483	41	14	20
webserver	0	6	124	124	-	386	1128	27	9	10
yopyra	0	20	124	124	-	343	1052	13	9	9
DONE
