# key   check__PYC_CSDCPA1_2_PYC_CSLADDER_3__83e0e25b+9ecbbb68
# mode  check   env: PYC_CSDCPA1=2 PYC_CSLADDER=3
# tree  83e0e25b+9ecbbb68
# content 763b714f45b3
# date  2026-09-06T11:58:48-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	233	830	6	4	5
adatron	0	10	134	124	-	430	1065	47	12	17
amaze	0	13	134	0	-	747	1996	70	10	16
ant	0	0	134	0	-	271	755	17	8	11
astar	0	0	0	0	yes	48	480	2	2	2
bh	0	12	134	124	-	413	1164	19	9	13
block	0	0	0	0	NO	280	893	12	8	10
brainfuck	0	0	0	0	NO	122	614	4	4	4
chaos	124	0	-	-	-	511	1178	28	8	15
chess	0	0	124	124	-	948	3025	79	12	18
chull	0	0	1	124	-	493	1153	52	14	29
circle	0	0	0	0	NO	122	600	5	5	5
collatz	0	0	0	0	NO	156	609	10	5	7
dijkstra	0	8	0	0	NO	285	917	25	6	8
dijkstra2	0	5	124	0	-	364	1102	52	15	21
doom	0	209	134	1	-	194	916	12	7	9
fysphun	0	0	0	0	yes	247	704	17	8	9
genetic	0	0	0	0	NO	173	720	9	5	5
genetic2	0	4	134	0	-	371	990	32	10	11
go	0	15	0	0	NO	698	1605	50	11	16
hq2x	0	0	0	0	NO	630	2191	19	5	8
kanoodle	0	6	139	0	-	575	1296	136	8	18
kmeanspp	0	54	0	124	-	131	661	5	5	5
life	0	17	134	0	-	232	754	20	8	8
linalg	1	329	-	-	-	580	1528	50	4	14
loop	0	0	124	0	-	342	950	27	11	13
lz2	0	39	134	0	-	168	779	8	5	8
mandelbrot	0	0	0	0	NO	91	523	2	2	2
mandelbrot2	0	0	0	0	NO	300	970	35	9	14
mao	0	3	0	124	-	314	875	19	8	9
mastermind2	0	54	134	0	-	385	1138	32	7	8
minilight	0	14	134	124	-	222	1169	9	7	7
minpng	0	9	0	0	NO	109	574	10	6	6
msp_ss	0	235	0	0	yes	806	2400	83	15	23
mwmatching	0	10	134	0	-	67	546	3	3	3
nbody	0	0	0	0	NO	104	600	4	4	4
neural1	0	31	139	0	-	319	896	18	9	13
neural2	0	0	0	0	NO	221	787	28	4	8
oliva2	0	0	0	124	-	187	677	14	4	6
othello	0	8	134	0	-	208	711	25	8	11
othello2	1	90	-	-	-	307	1088	10	8	9
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	199	847	7	6	6
pisang	0	0	134	124	-	380	928	23	5	8
plcfrs	1	719	-	-	-	1582	4659	86	24	43
pygasus	0	54	134	124	-	1668	3369	108	7	16
pygmy	0	0	0	124	-	754	3127	19	9	9
pylife	0	0	124	0	-	651	2480	39	7	17
pystone	1	3	-	-	-	179	668	12	6	8
quameon	1	305	-	-	-	1272	2736	153	19	34
rdb	1	296	-	-	-	1377	4489	132	17	41
richards	1	4	-	-	-	203	815	9	4	6
rsync	0	38	134	1	-	101	603	12	6	6
rubik	0	102	134	0	-	988	4342	230	10	23
rubik2	0	0	124	124	-	414	978	40	7	22
sat	0	19	134	0	-	107	656	4	4	4
score4	0	0	124	124	-	207	730	14	8	11
sha	0	0	0	0	NO	324	953	39	5	9
sieve	0	0	0	0	NO	223	737	20	5	11
softrender	0	76	134	0	-	936	2013	75	15	24
sokoban	0	25	0	0	NO	85	586	4	4	4
solitaire	0	6	124	0	-	240	850	31	7	8
stereo	0	0	0	0	yes	155	959	192	6	9
sudoku1	0	9	0	0	NO	234	841	26	7	9
sudoku2	1	173	-	-	-	866	1990	62	12	18
sudoku3	1	168	-	-	-	670	1686	54	10	26
sudoku4	0	21	134	0	-	430	1150	44	14	17
sudoku5	1	174	-	-	-	767	2042	56	12	23
sunfish	0	105	134	0	-	180	969	25	6	13
tarsalzp	0	231	139	0	-	539	1733	14	4	5
tictactoe	0	0	0	0	NO	510	1424	49	8	9
timsort	0	32	134	124	-	197	773	2	2	2
tonyjpegdecoder	0	0	124	0	-	567	1657	46	6	19
voronoi	0	0	0	0	NO	158	644	8	4	4
voronoi2	0	5	0	0	NO	511	1530	45	15	22
webserver	0	6	124	124	-	386	1128	27	9	10
yopyra	0	20	124	124	-	343	1052	13	9	9
DONE
