# key   check__PYC_CSDCPA1_2_PYC_CSLADDER_3__e40a5fcd+f3cb2d55
# mode  check   env: PYC_CSDCPA1=2 PYC_CSLADDER=3
# tree  e40a5fcd+f3cb2d55
# content cc301116ac02
# date  2026-09-07T11:16:42-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	233	830	6	4	5
adatron	0	10	134	124	-	420	1068	51	13	18
amaze	0	13	134	0	-	737	2057	71	10	16
ant	0	0	0	0	NO	250	743	22	7	9
astar	0	0	0	0	yes	48	480	2	2	2
bh	0	12	134	124	-	407	1159	16	8	12
block	0	0	0	0	NO	280	893	12	8	10
brainfuck	0	0	0	0	NO	122	614	4	4	4
chaos	0	5	0	124	-	506	1193	32	9	16
chess	0	0	124	124	-	989	2979	88	12	19
chull	0	6	1	124	-	568	1214	58	14	30
circle	0	0	0	0	NO	122	600	5	5	5
collatz	0	0	0	0	NO	173	621	10	5	7
dijkstra	0	8	0	0	NO	286	917	24	6	8
dijkstra2	0	5	124	0	-	378	1100	39	15	21
doom	0	209	134	1	-	200	921	13	7	9
fysphun	0	0	0	0	yes	247	704	17	8	9
genetic	0	0	0	0	NO	173	720	9	5	5
genetic2	0	3	134	0	-	398	1006	29	10	11
go	0	15	0	0	NO	677	1556	59	12	17
hq2x	0	0	0	0	NO	627	2183	15	5	6
kanoodle	0	6	139	0	-	551	1294	147	8	18
kmeanspp	0	4	134	124	-	66	550	3	3	3
life	0	17	134	0	-	245	763	20	8	8
linalg	1	332	-	-	-	586	1568	46	4	12
loop	0	0	124	0	-	355	968	30	12	16
lz2	0	39	134	0	-	171	781	8	5	8
mandelbrot	0	0	0	0	NO	97	527	2	2	2
mandelbrot2	0	0	0	0	NO	300	970	35	9	14
mao	0	3	0	124	-	316	875	19	8	9
mastermind2	0	54	134	0	-	386	1146	35	8	9
minilight	0	14	134	124	-	222	1169	9	7	7
minpng	0	9	0	0	NO	115	578	10	6	6
msp_ss	0	235	0	0	yes	814	2414	90	15	23
mwmatching	0	10	134	0	-	67	546	3	3	3
nbody	0	0	0	0	NO	113	606	4	4	4
neural1	0	31	139	0	-	298	889	18	9	13
neural2	0	0	0	0	NO	220	787	28	4	8
oliva2	0	0	0	124	-	202	682	9	3	5
othello	0	8	134	0	-	210	715	25	8	11
othello2	0	80	134	0	-	300	1093	15	8	11
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	851	7	6	6
pisang	0	0	134	124	-	372	929	26	6	8
plcfrs	1	728	-	-	-	1608	4598	88	22	43
pygasus	0	54	134	124	-	1707	3390	108	7	14
pygmy	0	0	0	124	-	805	3367	19	9	9
pylife	0	0	124	0	-	660	2486	39	7	17
pystone	0	0	0	0	NO	175	666	13	5	7
quameon	1	133	-	-	-	1225	2756	151	18	35
rdb	1	113	-	-	-	1076	2495	115	16	37
richards	1	4	-	-	-	208	816	6	4	5
rsync	0	38	134	1	-	101	603	12	6	6
rubik	0	102	134	0	-	1027	4420	231	10	24
rubik2	0	0	124	124	-	413	982	44	8	20
sat	0	19	134	0	-	107	656	4	4	4
score4	0	0	0	124	-	233	745	14	8	11
sha	0	0	0	0	NO	299	904	30	5	9
sieve	0	0	0	0	NO	240	745	14	4	10
softrender	1	76	-	-	-	866	2038	74	15	25
sokoban	0	25	0	0	NO	85	586	4	4	4
solitaire	0	6	124	0	-	243	851	29	8	9
stereo	0	0	0	0	yes	178	970	189	6	9
sudoku1	0	9	0	0	NO	255	855	26	7	9
sudoku2	0	0	0	0	NO	661	1608	69	11	15
sudoku3	1	37	-	-	-	519	1398	58	7	15
sudoku4	0	21	134	0	-	450	1230	49	14	17
sudoku5	0	24	0	0	NO	602	1448	59	14	19
sunfish	0	51	134	0	-	112	805	12	4	6
tarsalzp	0	231	139	0	-	560	1748	14	4	5
tictactoe	0	0	0	0	NO	492	1453	47	8	9
timsort	0	32	134	124	-	197	773	2	2	2
tonyjpegdecoder	0	0	124	0	-	566	1660	51	6	19
voronoi	0	0	0	0	NO	158	644	8	4	4
voronoi2	1	62	-	-	-	507	1512	46	15	21
webserver	0	10	124	124	-	399	1154	27	9	10
yopyra	0	20	124	124	-	340	1048	12	9	9
DONE
