# key   check__PYC_CSDCPA1_2__3c388f22+adf4abe8
# mode  check   env: PYC_CSDCPA1=2
# tree  3c388f22+adf4abe8
# content 5cbc9e9737af
# date  2026-09-05T07:33:47-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	247	885	8	4	5
adatron	0	10	134	124	-	438	1088	48	12	17
amaze	0	13	134	0	-	719	2008	71	11	19
ant	0	0	134	0	-	278	761	18	8	11
astar	0	0	0	0	yes	48	480	2	2	2
bh	0	1	0	124	-	417	1166	17	8	12
block	0	0	0	0	NO	299	904	13	9	11
brainfuck	0	0	0	0	NO	123	615	5	4	4
chaos	0	202	1	124	-	301	911	23	10	15
chess	1	13	-	-	-	1142	3573	93	13	21
chull	1	6	-	-	-	585	1216	49	13	27
circle	0	0	0	0	NO	122	599	5	5	5
collatz	0	0	0	0	NO	173	622	11	5	8
dijkstra	1	12	-	-	-	294	913	16	7	9
dijkstra2	0	10	124	0	-	394	1091	45	16	22
doom	0	209	134	1	-	203	923	13	7	9
fysphun	0	7	134	0	-	267	708	12	7	7
genetic	0	0	0	0	NO	173	716	5	4	4
genetic2	0	3	134	0	-	396	1000	25	10	11
go	0	31	134	0	-	562	1464	51	12	18
hq2x	0	0	0	0	NO	627	2189	18	4	6
kanoodle	1	6	-	-	-	598	1322	147	9	17
kmeanspp	0	4	134	124	-	66	550	3	3	3
life	1	26	-	-	-	248	761	15	8	8
linalg	1	189	-	-	-	544	1360	48	4	18
loop	0	0	124	0	-	346	953	25	11	13
lz2	0	39	134	0	-	167	777	6	5	6
mandelbrot	0	0	0	0	NO	97	527	2	2	2
mandelbrot2	0	0	0	0	NO	300	970	35	9	14
mao	0	3	0	124	-	314	867	14	7	8
mastermind2	0	54	134	0	-	417	1152	32	8	11
minilight	0	14	134	124	-	222	1164	9	7	7
minpng	0	11	0	0	NO	116	574	5	5	5
msp_ss	0	276	0	0	yes	885	2554	91	15	24
mwmatching	0	10	134	0	-	67	545	3	3	3
nbody	0	0	0	0	NO	121	608	4	4	4
neural1	0	31	139	0	-	315	892	18	9	13
neural2	0	10	1	0	-	170	699	24	5	9
oliva2	0	0	0	124	-	202	682	9	3	5
othello	0	54	134	0	-	227	723	27	8	13
othello2	0	80	134	0	-	298	1090	12	7	10
othello3	124	0	-	-	-	-	-	-	-	-
path_tracing	1	0	-	-	-	205	847	7	6	6
pisang	0	0	134	124	-	398	935	22	6	10
plcfrs	139	473	-	-	-	1467	3618	115	27	49
pygasus	124	0	-	-	-	-	-	-	-	-
pygmy	1	0	-	-	-	1337	5906	31	8	9
pylife	0	64	134	0	-	603	2112	34	6	17
pystone	0	0	0	0	NO	177	662	9	4	7
quameon	124	0	-	-	-	-	-	-	-	-
rdb	1	118	-	-	-	1108	2523	120	17	39
richards	1	7	-	-	-	210	814	5	4	5
rsync	0	38	134	1	-	101	597	6	5	5
rubik	0	162	134	0	-	1057	4387	246	10	24
rubik2	0	0	139	124	-	454	1036	45	7	21
sat	0	22	134	0	-	106	654	3	3	3
score4	0	0	0	124	-	233	746	15	8	12
sha	0	0	0	0	NO	327	921	28	4	10
sieve	0	0	0	0	NO	248	751	16	4	10
softrender	139	8	-	-	-	873	2047	74	15	24
sokoban	0	25	0	0	NO	85	585	4	4	4
solitaire	1	6	-	-	-	253	857	31	7	9
stereo	0	0	0	0	yes	178	970	189	6	9
sudoku1	0	9	134	0	-	252	860	26	7	8
sudoku2	1	170	-	-	-	808	1802	46	12	22
sudoku3	1	66	-	-	-	546	1417	56	9	18
sudoku4	0	21	134	0	-	441	1155	35	13	17
sudoku5	1	73	-	-	-	762	1776	59	15	22
sunfish	0	50	134	0	-	111	805	12	4	6
tarsalzp	0	231	139	0	-	559	1747	17	5	7
tictactoe	0	0	0	0	NO	559	1478	47	7	8
timsort	0	32	134	124	-	197	773	2	2	2
tonyjpegdecoder	0	0	124	0	-	582	1688	77	6	17
voronoi	0	0	0	0	NO	158	644	8	4	4
voronoi2	0	41	0	0	NO	498	1480	39	14	20
webserver	1	9	-	-	-	413	1169	21	9	11
yopyra	0	20	124	124	-	406	1137	18	9	9
DONE
