# key   check__PYC_CSDCPA1_2__5e012d78+8450a439
# mode  check   env: PYC_CSDCPA1=2
# tree  5e012d78+8450a439
# content 630953f7d9d2
# date  2026-09-05T08:57:47-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	233	829	6	4	5
adatron	0	10	134	124	-	427	1065	47	12	17
amaze	0	13	134	0	-	739	2048	71	11	17
ant	0	0	134	0	-	269	755	17	8	11
astar	0	0	0	0	yes	48	480	2	2	2
bh	0	12	134	124	-	419	1170	17	9	13
block	0	0	0	0	NO	332	948	13	8	10
brainfuck	0	0	0	0	NO	122	614	4	4	4
chaos	0	5	0	124	-	522	1201	26	8	15
chess	0	346	134	124	-	1087	3551	84	13	20
chull	1	6	-	-	-	593	1239	49	13	26
circle	0	0	0	0	NO	122	599	5	5	5
collatz	0	0	0	0	NO	173	621	10	5	7
dijkstra	1	12	-	-	-	294	913	16	7	9
dijkstra2	0	5	124	0	-	391	1102	44	15	21
doom	0	209	134	1	-	200	918	11	7	9
fysphun	0	7	134	0	-	267	708	12	7	7
genetic	0	0	0	0	NO	173	716	5	4	4
genetic2	0	3	134	0	-	396	1000	25	10	11
go	1	27	-	-	-	616	1492	52	13	19
hq2x	0	0	0	0	NO	629	2190	19	5	8
kanoodle	1	6	-	-	-	561	1291	137	8	18
kmeanspp	0	4	134	124	-	66	550	3	3	3
life	0	17	134	0	-	247	768	15	7	7
linalg	1	187	-	-	-	498	1292	32	4	12
loop	0	0	124	0	-	346	951	23	11	13
lz2	0	39	134	0	-	171	780	8	5	8
mandelbrot	0	0	0	0	NO	97	527	2	2	2
mandelbrot2	0	0	0	0	NO	300	970	35	9	14
mao	0	3	0	124	-	314	867	14	7	8
mastermind2	0	54	134	0	-	422	1150	29	7	8
minilight	0	14	134	124	-	222	1164	9	7	7
minpng	0	11	0	0	NO	116	574	5	5	5
msp_ss	1	266	-	-	-	889	2544	85	15	23
mwmatching	0	10	134	0	-	67	545	3	3	3
nbody	0	0	0	0	NO	121	608	4	4	4
neural1	0	31	139	0	-	315	892	18	9	13
neural2	0	0	0	0	NO	221	787	28	4	8
oliva2	0	0	0	124	-	202	682	9	3	5
othello	0	8	134	0	-	217	715	25	8	11
othello2	1	90	-	-	-	307	1088	10	8	9
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	1	0	-	-	-	205	847	7	6	6
pisang	1	65	-	-	-	439	974	26	7	10
plcfrs	1	695	-	-	-	1684	4482	107	25	47
pygasus	0	54	134	124	-	1735	3394	103	7	16
pygmy	1	0	-	-	-	1337	5906	31	8	9
pylife	0	92	134	0	-	629	2117	35	6	16
pystone	0	0	0	0	NO	176	662	9	4	8
quameon	1	78	-	-	-	1317	2742	156	19	35
rdb	1	323	-	-	-	1480	4571	127	17	41
richards	1	7	-	-	-	210	814	5	4	5
rsync	0	38	134	1	-	101	597	6	5	5
rubik	0	102	134	0	-	1025	4369	236	10	23
rubik2	0	1	134	124	-	415	1013	39	9	23
sat	0	19	134	0	-	107	656	4	4	4
score4	0	0	0	124	-	233	745	14	8	11
sha	1	12	-	-	-	347	934	29	5	8
sieve	0	0	0	0	NO	250	751	16	4	10
softrender	0	76	134	0	-	872	2044	71	15	24
sokoban	0	25	0	0	NO	85	585	4	4	4
solitaire	0	6	124	0	-	253	857	31	7	8
stereo	0	0	0	0	yes	178	970	189	6	9
sudoku1	0	9	0	0	NO	255	855	26	7	9
sudoku2	0	33	134	0	-	747	1700	62	10	15
sudoku3	1	193	-	-	-	901	2455	57	12	24
sudoku4	0	21	134	0	-	441	1155	35	13	16
sudoku5	1	84	-	-	-	648	1446	53	10	18
sunfish	0	50	134	0	-	111	805	12	4	6
tarsalzp	0	231	139	0	-	568	1752	16	5	6
tictactoe	0	0	0	0	NO	565	1499	43	8	8
timsort	0	32	134	124	-	197	773	2	2	2
tonyjpegdecoder	0	0	124	0	-	567	1656	46	6	19
voronoi	0	0	0	0	NO	158	644	8	4	4
voronoi2	0	37	0	0	NO	538	1551	43	17	25
webserver	1	9	-	-	-	428	1175	21	9	10
yopyra	0	20	124	124	-	406	1137	18	9	9
DONE
