# key   check__PYC_CSELEM_3_PYC_CSREJOIN_0__7e05207f+037f2f8f
# mode  check   env: PYC_CSELEM=3 PYC_CSREJOIN=0
# tree  7e05207f+037f2f8f
# content 2734e79fc096
# date  2026-09-04T19:35:21-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	274	1139	15	5	6
adatron	0	10	134	124	-	422	1491	52	13	18
amaze	0	13	134	0	-	674	2629	53	11	17
ant	0	0	0	0	NO	249	992	23	7	9
astar	0	0	0	0	yes	48	530	5	2	2
bh	0	1	0	124	-	415	1582	22	8	13
block	0	0	0	0	NO	301	1209	20	9	11
brainfuck	0	0	0	0	NO	123	741	9	5	5
chaos	0	5	0	124	-	484	1652	34	9	17
chess	0	0	124	124	-	985	4138	87	12	19
chull	0	6	1	124	-	534	1731	54	14	29
circle	0	0	0	0	NO	122	725	9	6	6
collatz	0	0	0	0	NO	173	798	15	5	8
dijkstra	0	8	0	0	NO	271	1158	21	6	8
dijkstra2	0	5	124	0	-	372	1475	48	15	21
doom	0	210	134	1	-	204	1145	31	7	10
fysphun	0	0	0	0	yes	244	945	15	8	9
genetic	0	0	0	0	NO	173	892	9	5	5
genetic2	0	3	134	0	-	401	1410	31	10	11
go	0	15	0	0	NO	629	2157	38	12	15
hq2x	0	0	0	0	NO	633	2830	24	5	6
kanoodle	0	6	0	0	NO	548	1839	149	8	23
kmeanspp	0	4	134	124	-	66	618	6	3	3
life	0	17	134	0	-	244	1011	20	8	8
linalg	0	28	134	0	-	1005	3052	128	5	19
loop	0	0	124	0	-	349	1312	34	12	15
lz2	0	39	134	0	-	179	972	17	6	9
mandelbrot	0	0	0	0	NO	97	627	6	3	3
mandelbrot2	0	0	0	0	NO	285	1132	30	9	14
mao	0	3	0	124	-	319	1212	17	8	9
mastermind2	0	54	134	0	-	413	1566	35	8	9
minilight	0	14	134	124	-	224	1397	13	8	8
minpng	0	9	0	0	NO	115	692	10	6	6
msp_ss	0	264	0	0	yes	889	3434	100	15	23
mwmatching	0	10	134	0	-	67	616	7	4	4
nbody	0	0	0	0	NO	113	722	8	5	5
neural1	0	28	139	0	-	278	1152	27	10	14
neural2	0	0	0	0	NO	225	1017	32	5	9
oliva2	0	0	0	124	-	202	888	14	4	6
othello	0	8	134	0	-	209	935	32	8	11
othello2	0	80	134	0	-	312	1412	18	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	1059	11	7	7
pisang	0	0	134	124	-	362	1284	27	6	9
plcfrs	0	123	134	0	-	1257	3721	173	27	51
pygasus	0	3	134	124	-	1672	5035	119	11	19
pygmy	0	0	0	124	-	459	1903	20	9	10
pylife	0	0	124	0	-	459	1843	30	7	17
pystone	0	0	0	0	NO	173	838	13	5	7
quameon	0	69	134	0	-	1125	3778	133	17	32
rdb	1	120	-	-	-	1083	3562	141	16	35
richards	0	4	0	124	-	221	1051	10	4	6
rsync	0	38	134	1	-	101	703	12	6	6
rubik	0	176	134	0	-	717	4139	126	11	21
rubik2	0	0	124	124	-	412	1403	48	8	20
sat	0	19	134	0	-	108	770	10	5	6
score4	0	0	0	124	-	224	972	18	8	11
sha	0	0	0	0	NO	338	1296	38	5	9
sieve	0	0	0	0	NO	249	1003	20	5	11
softrender	0	76	134	0	-	756	2768	66	15	26
sokoban	0	25	0	0	NO	85	676	10	4	4
solitaire	0	6	124	0	-	250	1108	37	8	10
stereo	0	0	0	0	yes	178	1150	192	6	9
sudoku1	0	15	0	0	NO	240	1093	33	7	9
sudoku2	0	0	0	0	NO	398	1612	36	11	15
sudoku3	0	48	134	0	-	404	1643	43	8	15
sudoku4	0	21	134	0	-	424	1555	41	14	16
sudoku5	1	212	-	-	-	856	3479	71	14	23
sunfish	0	55	134	0	-	118	931	20	4	7
tarsalzp	0	231	139	0	-	576	2357	36	5	7
tictactoe	0	0	0	0	NO	373	1488	34	8	9
timsort	0	32	134	124	-	207	988	9	3	3
tonyjpegdecoder	0	0	124	0	-	585	2284	83	7	18
voronoi	0	0	0	0	NO	158	805	12	5	5
voronoi2	0	27	0	0	NO	452	1918	42	14	23
webserver	0	6	124	124	-	382	1511	30	9	10
yopyra	0	20	124	124	-	401	1549	19	10	10
DONE
