# key   check__PYC_CSPEEL2_1__77907a01+11b82c01
# mode  check   env: PYC_CSPEEL2=1
# tree  77907a01+11b82c01
# content 7738eac8bd04
# date  2026-09-15T12:39:49-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	243	850	8	5	6
adatron	0	0	134	124	-	406	1055	39	13	18
amaze	0	7	134	0	-	704	2038	65	11	17
ant	0	0	0	0	NO	266	751	21	7	9
astar	0	0	0	0	yes	48	482	2	2	2
bh	0	1	0	124	-	380	1147	22	8	13
block	0	0	0	0	NO	278	895	12	9	11
brainfuck	0	0	0	0	NO	123	618	6	5	5
chaos	0	0	0	124	-	497	1194	32	9	16
chess	0	0	124	124	-	758	2458	67	12	19
chull	0	0	139	124	-	556	1194	54	14	29
circle	0	0	0	0	NO	122	603	6	6	6
collatz	0	0	0	0	NO	168	620	9	5	8
dijkstra	0	6	0	0	NO	283	907	21	6	8
dijkstra2	0	4	124	0	-	382	1115	45	15	21
doom	0	157	134	1	-	204	927	15	7	9
fysphun	0	0	0	0	yes	238	699	10	8	9
genetic	0	0	0	0	NO	173	719	6	5	5
genetic2	0	3	134	0	-	401	1010	29	10	11
go	0	10	0	0	NO	628	1514	34	11	14
hq2x	0	0	0	124	-	615	2179	13	5	6
kanoodle	0	5	139	0	-	396	1037	31	8	19
kmeanspp	0	4	134	124	-	66	552	3	3	3
life	0	23	134	0	-	404	1026	35	9	10
linalg	0	154	134	0	-	671	1482	57	4	13
loop	0	0	124	0	-	356	960	26	12	16
lz2	0	29	134	0	-	171	784	9	6	9
mandelbrot	0	0	0	0	NO	97	529	2	2	2
mandelbrot2	0	0	0	0	NO	332	906	32	8	13
mao	0	2	0	124	-	312	871	13	8	9
mastermind2	0	24	134	0	-	373	1121	21	8	9
minilight	0	9	134	124	-	222	1172	10	8	8
minpng	0	6	0	0	NO	115	577	7	6	6
msp_ss	0	194	0	0	yes	868	2510	86	15	23
mwmatching	0	7	134	0	-	67	548	3	3	3
nbody	0	0	0	0	NO	113	608	4	4	4
neural1	0	14	139	0	-	279	871	21	10	14
neural2	0	0	0	0	NO	215	782	22	5	9
oliva2	0	0	0	124	-	201	684	10	4	6
othello	0	0	0	0	NO	349	1037	45	9	15
othello2	0	46	134	0	-	314	1099	15	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	854	8	7	7
pisang	0	0	134	124	-	365	924	24	6	8
plcfrs	0	124	134	0	-	1309	2468	161	26	47
pygasus	0	52	134	124	-	1644	3273	30	7	14
pygmy	0	0	0	124	-	809	3368	17	9	9
pylife	1	48	-	-	-	447	1376	35	7	17
pystone	0	0	0	0	NO	169	663	10	5	7
quameon	0	0	134	0	-	1268	2711	126	17	30
rdb	1	82	-	-	-	1015	2357	116	16	35
richards	0	4	0	124	-	223	833	11	4	6
rsync	0	27	134	1	-	101	600	7	6	6
rubik	0	134	134	0	-	719	3506	121	11	20
rubik2	0	0	124	124	-	402	977	41	8	20
sat	0	16	134	0	-	90	589	5	4	4
score4	0	0	0	124	-	224	747	15	8	11
sha	0	0	0	0	NO	348	959	30	5	9
sieve	0	0	0	0	NO	240	747	15	5	11
softrender	0	13	134	0	-	950	2230	80	15	25
sokoban	0	17	0	0	NO	85	588	4	4	4
solitaire	0	1	124	0	-	253	857	30	8	10
stereo	0	0	0	0	yes	144	699	9	6	9
sudoku1	0	7	0	0	NO	220	824	13	7	9
sudoku2	0	0	0	0	NO	487	1316	49	11	15
sudoku3	0	0	0	0	NO	546	1909	54	8	17
sudoku4	1	91	-	-	-	588	1582	34	15	18
sudoku5	0	19	0	0	NO	615	1403	61	14	19
sunfish	0	45	134	0	-	117	811	15	4	6
tarsalzp	0	170	139	0	-	503	1695	10	5	7
tictactoe	0	0	0	0	NO	375	1142	26	8	9
timsort	0	0	0	124	-	249	1121	5	4	4
tonyjpegdecoder	0	0	0	0	NO	572	1680	38	7	18
voronoi	0	0	0	0	NO	158	647	9	5	5
voronoi2	0	33	0	0	NO	460	1471	36	14	19
webserver	0	10	124	124	-	379	1122	19	9	10
yopyra	0	0	124	124	-	342	1048	13	10	10
DONE
