# key   check__PYC_ESBLOCK_1__87cc8d60
# mode  check   env: PYC_ESBLOCK=1
# tree  87cc8d60
# content 755de056542e
# date  2026-09-15T10:48:37-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	243	849	7	4	5
adatron	0	0	134	124	-	407	1055	38	13	18
amaze	0	7	134	0	-	673	2006	53	11	17
ant	0	0	0	0	NO	264	750	20	7	9
astar	0	0	0	0	yes	48	482	2	2	2
bh	0	1	0	124	-	380	1145	20	8	13
block	0	0	0	0	NO	278	895	12	9	11
brainfuck	0	0	0	0	NO	122	617	5	5	5
chaos	0	0	0	124	-	482	1185	29	9	16
chess	0	0	124	124	-	565	1473	53	12	19
chull	0	0	139	124	-	529	1170	50	14	29
circle	0	0	0	0	NO	122	603	6	6	6
collatz	0	0	0	0	NO	168	620	9	5	8
dijkstra	0	6	0	0	NO	297	914	22	6	8
dijkstra2	0	4	124	0	-	378	1092	42	15	21
doom	0	157	134	1	-	201	923	14	7	9
fysphun	0	0	0	0	yes	247	702	10	8	9
genetic	0	0	0	0	NO	173	719	6	5	5
genetic2	0	3	134	0	-	400	1009	28	10	11
go	0	10	0	0	NO	649	1549	35	11	14
hq2x	0	0	0	124	-	608	2175	10	5	6
kanoodle	0	5	139	0	-	387	1031	29	8	19
kmeanspp	0	4	134	124	-	66	552	3	3	3
life	0	3	134	0	-	335	929	22	8	8
linalg	0	33	134	0	-	1021	1960	83	3	10
loop	0	0	124	0	-	340	950	23	12	16
lz2	0	29	134	0	-	171	783	8	5	8
mandelbrot	0	0	0	0	NO	97	529	2	2	2
mandelbrot2	0	0	0	0	NO	309	877	29	9	14
mao	0	2	0	124	-	312	871	13	8	9
mastermind2	0	44	134	0	-	412	1167	21	8	9
minilight	0	9	134	124	-	222	1172	10	8	8
minpng	0	6	0	0	NO	115	577	7	6	6
msp_ss	0	194	0	0	yes	870	2521	82	15	22
mwmatching	0	7	134	0	-	67	548	3	3	3
nbody	0	0	0	0	NO	113	608	4	4	4
neural1	0	14	139	0	-	268	864	18	10	14
neural2	0	0	0	0	NO	212	781	21	5	9
oliva2	0	0	0	124	-	196	682	8	4	6
othello	0	0	0	0	NO	283	881	34	9	14
othello2	0	46	134	0	-	303	1092	12	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	854	8	7	7
pisang	0	0	134	124	-	362	923	23	6	8
plcfrs	0	122	134	0	-	1256	2458	150	26	47
pygasus	0	52	134	124	-	1640	3266	24	7	13
pygmy	0	0	0	124	-	808	3367	16	9	9
pylife	0	0	124	0	-	418	1311	23	7	12
pystone	0	0	0	0	NO	169	663	10	5	7
quameon	0	0	134	0	-	1224	2683	107	17	30
rdb	1	82	-	-	-	1014	2350	113	16	35
richards	0	4	0	124	-	208	818	7	4	6
rsync	0	27	134	1	-	101	600	7	6	6
rubik	0	134	134	0	-	704	3492	108	11	20
rubik2	0	0	124	124	-	394	969	35	8	20
sat	0	16	134	0	-	90	589	5	4	4
score4	0	0	0	124	-	224	745	13	8	11
sha	0	0	0	0	NO	320	912	22	5	9
sieve	0	0	0	0	NO	240	747	15	5	11
softrender	1	13	-	-	-	965	2254	75	15	28
sokoban	0	17	0	0	NO	85	588	4	4	4
solitaire	0	1	124	0	-	239	848	27	8	10
stereo	0	0	0	0	yes	143	698	8	6	8
sudoku1	0	7	0	0	NO	221	825	13	7	9
sudoku2	0	0	0	0	NO	495	1292	47	11	15
sudoku3	0	0	0	0	NO	547	1970	46	8	17
sudoku4	0	15	134	0	-	452	1168	40	14	17
sudoku5	0	22	0	0	NO	665	1567	61	14	19
sunfish	0	42	134	0	-	112	808	13	4	6
tarsalzp	0	170	139	0	-	552	1738	10	4	6
tictactoe	0	0	0	0	NO	377	1142	24	8	9
timsort	0	0	0	124	-	251	1121	5	4	4
tonyjpegdecoder	0	0	124	0	-	572	1677	36	7	18
voronoi	0	0	0	0	NO	158	647	9	5	5
voronoi2	0	33	0	0	NO	455	1467	34	14	19
webserver	0	0	124	124	-	340	1049	18	9	10
yopyra	0	0	124	124	-	350	1060	14	10	10
DONE
