# key   check__PYC_SETTERGATE_1__f13e1b2e
# mode  check   env: PYC_SETTERGATE=1
# tree  f13e1b2e
# content be532325a159
# date  2026-09-16T08:46:51-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	244	849	7	4	5
adatron	0	0	134	124	-	419	1056	40	13	18
amaze	0	7	134	0	-	670	1950	53	11	17
ant	0	0	0	0	NO	266	750	20	7	9
astar	0	0	0	0	yes	48	482	2	2	2
bh	0	1	0	124	-	381	1145	20	8	13
block	0	0	0	0	NO	278	895	12	9	11
brainfuck	0	0	0	0	NO	122	617	5	5	5
chaos	0	0	0	124	-	481	1184	29	9	16
chess	0	0	124	124	-	566	1594	53	12	19
chull	0	0	139	124	-	529	1170	50	14	29
circle	0	0	0	0	NO	122	603	6	6	6
collatz	0	0	0	0	NO	168	620	9	5	8
dijkstra	0	6	0	0	NO	284	906	20	6	8
dijkstra2	0	4	124	0	-	374	1092	43	15	21
doom	0	157	134	1	-	201	923	14	7	9
fysphun	0	0	0	0	yes	241	699	10	8	9
genetic	0	0	0	0	NO	174	719	6	5	5
genetic2	0	3	134	0	-	400	1009	28	10	11
go	0	10	0	0	NO	636	1531	36	11	14
hq2x	0	0	0	124	-	618	2181	10	5	6
kanoodle	0	5	139	0	-	387	1031	29	8	19
kmeanspp	0	4	134	124	-	66	552	3	3	3
life	0	18	134	0	-	361	956	22	9	10
linalg	0	121	134	0	-	1190	2221	105	4	13
loop	0	0	124	0	-	343	958	23	12	16
lz2	0	29	134	0	-	171	783	8	5	8
mandelbrot	0	0	0	0	NO	97	529	2	2	2
mandelbrot2	0	0	0	0	NO	307	876	29	9	14
mao	0	2	0	124	-	312	871	13	8	9
mastermind2	0	24	134	0	-	371	1120	20	8	9
minilight	0	9	134	124	-	222	1172	10	8	8
minpng	0	6	0	0	NO	115	577	7	6	6
msp_ss	0	194	0	0	yes	861	2499	81	15	22
mwmatching	0	7	134	0	-	67	548	3	3	3
nbody	0	0	0	0	NO	113	608	4	4	4
neural1	0	14	139	0	-	268	864	18	10	14
neural2	0	0	0	0	NO	215	781	21	5	9
oliva2	0	0	0	124	-	197	682	8	4	6
othello	0	0	0	0	NO	298	894	35	9	14
othello2	0	46	134	0	-	302	1091	12	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	854	8	7	7
pisang	0	0	134	124	-	362	921	23	6	8
plcfrs	0	175	134	0	-	1329	2535	157	26	47
pygasus	0	2	134	124	-	1653	3269	28	11	17
pygmy	0	0	0	124	-	807	3366	16	9	9
pylife	0	0	124	0	-	416	1310	23	7	12
pystone	0	0	0	0	NO	172	663	10	5	7
quameon	0	4	134	0	-	1194	2672	105	16	29
rdb	1	95	-	-	-	1004	2333	111	15	35
richards	0	4	0	124	-	208	818	7	4	6
rsync	0	27	134	1	-	101	600	7	6	6
rubik	0	134	134	0	-	716	3492	108	11	20
rubik2	0	0	124	124	-	412	1004	39	8	20
sat	0	16	134	0	-	90	589	5	4	4
score4	0	0	0	124	-	232	745	13	8	11
sha	0	0	0	0	NO	325	943	24	5	9
sieve	0	0	0	0	NO	240	747	15	5	11
softrender	0	13	134	0	-	934	2212	76	15	25
sokoban	0	17	0	0	NO	85	588	4	4	4
solitaire	0	1	124	0	-	240	848	27	8	10
stereo	0	0	0	0	yes	143	698	8	6	8
sudoku1	0	7	0	0	NO	240	844	15	7	9
sudoku2	0	0	0	0	NO	481	1295	47	11	15
sudoku3	0	0	0	0	NO	558	1979	47	8	17
sudoku4	0	36	134	0	-	494	1289	31	13	17
sudoku5	0	19	0	0	NO	652	1428	58	14	19
sunfish	0	42	134	0	-	112	808	13	4	6
tarsalzp	0	170	139	0	-	503	1695	10	5	7
tictactoe	0	0	0	0	NO	441	1350	32	8	9
timsort	0	0	0	124	-	249	1121	5	4	4
tonyjpegdecoder	0	0	124	0	-	582	1680	38	7	18
voronoi	0	0	0	0	NO	158	647	9	5	5
voronoi2	0	33	0	0	NO	463	1469	34	14	19
webserver	0	4	124	124	-	391	1121	18	9	10
yopyra	0	0	124	124	-	346	1048	13	10	10
DONE
