# key   check__PYC_SETTERGATE_2__f13e1b2e+c47476ae
# mode  check   env: PYC_SETTERGATE=2
# tree  f13e1b2e+c47476ae
# content e351618e6dd6
# date  2026-09-16T09:03:33-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	244	849	7	4	5
adatron	0	0	134	124	-	423	1061	44	13	18
amaze	0	7	134	0	-	695	1978	64	11	17
ant	0	0	0	0	NO	267	751	21	7	9
astar	0	0	0	0	yes	48	482	2	2	2
bh	0	1	0	124	-	381	1145	20	8	13
block	0	0	0	0	NO	280	896	13	9	11
brainfuck	0	0	0	0	NO	122	617	5	5	5
chaos	0	0	0	124	-	484	1186	30	9	16
chess	0	0	124	124	-	577	1601	55	12	19
chull	0	0	139	124	-	561	1200	56	14	29
circle	0	0	0	0	NO	122	603	6	6	6
collatz	0	0	0	0	NO	173	623	11	5	8
dijkstra	0	6	0	0	NO	288	915	19	6	8
dijkstra2	0	4	124	0	-	385	1096	44	15	21
doom	0	157	134	1	-	201	923	14	7	9
fysphun	0	0	0	0	yes	241	699	10	8	9
genetic	0	0	0	0	NO	174	719	6	5	5
genetic2	0	3	134	0	-	400	1009	28	10	11
go	0	10	0	0	NO	649	1536	38	12	15
hq2x	0	0	0	124	-	618	2181	10	5	6
kanoodle	0	5	139	0	-	532	1281	135	8	19
kmeanspp	0	4	134	124	-	66	552	3	3	3
life	0	18	134	0	-	361	956	22	9	10
linalg	0	137	134	0	-	1929	3312	163	4	15
loop	0	0	124	0	-	340	952	23	12	16
lz2	0	29	134	0	-	171	783	8	5	8
mandelbrot	0	0	0	0	NO	97	529	2	2	2
mandelbrot2	0	0	0	0	NO	307	876	29	9	14
mao	0	2	0	124	-	310	870	13	8	9
mastermind2	0	34	134	0	-	391	1140	25	8	9
minilight	0	9	134	124	-	222	1172	10	8	8
minpng	0	6	0	0	NO	115	577	7	6	6
msp_ss	0	194	0	0	yes	887	2533	84	15	22
mwmatching	0	7	134	0	-	67	548	3	3	3
nbody	0	0	0	0	NO	113	608	4	4	4
neural1	0	14	139	0	-	271	865	19	10	14
neural2	0	0	0	0	NO	216	787	27	5	9
oliva2	0	0	0	124	-	202	683	9	4	6
othello	0	0	0	0	NO	341	1031	40	9	15
othello2	0	46	134	0	-	302	1091	12	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	854	8	7	7
pisang	0	0	134	124	-	372	925	23	6	8
plcfrs	0	183	134	0	-	1313	2536	163	26	47
pygasus	0	2	134	124	-	1657	3338	95	11	19
pygmy	0	0	0	124	-	807	3366	16	9	9
pylife	0	0	124	0	-	456	1383	27	7	17
pystone	0	0	0	0	NO	172	663	10	5	7
quameon	0	0	134	0	-	1279	2754	151	16	31
rdb	1	95	-	-	-	999	2334	112	15	35
richards	0	4	0	124	-	208	818	7	4	6
rsync	0	27	134	1	-	101	600	7	6	6
rubik	0	134	134	0	-	726	3498	109	11	20
rubik2	0	0	124	124	-	415	1007	40	8	20
sat	0	16	134	0	-	90	589	5	4	4
score4	0	0	0	124	-	232	745	13	8	11
sha	0	0	0	0	NO	339	917	27	5	9
sieve	0	0	0	0	NO	240	747	15	5	11
softrender	0	13	134	0	-	990	2255	83	15	25
sokoban	0	17	0	0	NO	85	588	4	4	4
solitaire	0	1	124	0	-	252	859	32	8	10
stereo	0	0	0	0	yes	178	972	189	6	9
sudoku1	0	7	0	0	NO	247	859	26	7	9
sudoku2	0	0	0	0	NO	478	1292	44	10	14
sudoku3	0	0	0	0	NO	570	1936	53	8	16
sudoku4	0	15	134	0	-	428	1128	34	14	17
sudoku5	1	20	-	-	-	626	1466	59	14	19
sunfish	0	42	134	0	-	112	808	13	4	6
tarsalzp	0	170	139	0	-	561	1756	19	4	6
tictactoe	0	0	0	0	NO	457	1368	33	7	8
timsort	0	0	0	124	-	249	1121	5	4	4
tonyjpegdecoder	0	0	124	0	-	595	1695	53	7	18
voronoi	0	0	0	0	NO	158	647	9	5	5
voronoi2	0	33	0	0	NO	462	1469	34	14	19
webserver	0	4	124	124	-	396	1125	22	9	10
yopyra	0	0	124	124	-	346	1048	13	10	10
DONE
