# key   check__default__2038b5c7+14838f72
# mode  check   env: (default)
# tree  2038b5c7+14838f72
# content 3107e7a72159
# date  2026-09-18T16:13:48-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	242	850	7	4	5
adatron	0	0	134	124	-	406	1054	38	13	18
amaze	1	0	-	-	-	733	2042	55	11	18
ant	0	0	0	0	NO	328	851	22	7	9
astar	0	0	0	0	yes	48	482	2	2	2
bh	0	1	0	124	-	380	1146	20	8	13
block	0	0	0	0	NO	277	896	12	9	11
brainfuck	0	0	0	0	yes	121	617	5	5	5
chaos	0	0	0	124	-	552	1283	31	9	16
chess	0	0	124	124	-	561	1436	53	12	19
chull	0	0	139	124	-	587	1263	53	15	31
circle	0	0	0	0	NO	122	603	6	6	6
collatz	0	0	0	0	yes	167	621	9	5	8
dijkstra	0	0	0	0	none	409	1077	29	9	12
dijkstra2	0	0	124	0	-	427	1179	44	16	23
doom	1	0	-	-	-	202	934	14	7	9
fysphun	0	0	0	0	yes	247	702	10	8	9
genetic	0	0	0	0	yes	245	822	9	6	7
genetic2	1	0	-	-	-	465	1103	31	11	13
go	1	0	-	-	-	699	1642	37	11	15
hq2x	0	0	0	0	yes	605	2174	10	5	6
kanoodle	1	0	-	-	-	386	1031	29	8	19
kmeanspp	1	0	-	-	-	66	568	5	4	5
life	1	0	-	-	-	362	957	22	9	10
linalg	1	0	-	-	-	1012	1956	83	3	11
loop	0	0	124	0	-	335	947	23	12	16
lz2	1	0	-	-	-	170	784	8	5	8
mandelbrot	0	0	0	0	yes	97	530	2	2	2
mandelbrot2	0	0	0	0	none	306	877	29	9	14
mao	1	0	-	-	-	364	959	13	8	9
mastermind2	1	0	-	-	-	426	1211	22	8	9
minilight	1	0	-	-	-	222	1188	12	8	9
minpng	1	0	-	-	-	114	577	7	6	6
msp_ss	1	0	-	-	-	862	2501	82	15	22
mwmatching	1	0	-	-	-	66	548	3	3	3
nbody	0	0	0	0	yes	112	608	4	4	4
neural1	1	0	-	-	-	266	863	18	10	14
neural2	0	0	0	0	NO	275	877	24	5	10
oliva2	0	0	0	124	-	264	782	11	5	8
othello	0	0	0	0	yes	278	880	34	9	14
othello2	1	0	-	-	-	302	1092	12	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	262	948	11	8	9
pisang	0	0	134	124	-	358	921	22	6	8
plcfrs	1	0	-	-	-	1242	2440	152	26	47
pygasus	1	0	-	-	-	1637	3264	24	7	13
pygmy	0	0	0	124	-	940	3834	19	10	11
pylife	0	0	124	0	-	470	1399	26	7	13
pystone	0	0	0	0	NO	169	664	10	5	7
quameon	0	0	134	0	-	1298	2797	115	16	29
rdb	1	0	-	-	-	1035	2416	112	16	35
richards	1	0	-	-	-	207	818	7	4	6
rsync	1	0	-	-	-	101	600	7	6	6
rubik	1	0	-	-	-	764	3588	110	11	21
rubik2	0	0	124	124	-	444	1047	35	8	20
sat	1	0	-	-	-	89	589	5	4	4
score4	0	0	0	124	-	223	746	13	8	11
sha	0	0	0	0	NO	316	911	22	5	9
sieve	0	0	0	0	NO	240	748	15	5	11
softrender	1	0	-	-	-	937	2204	74	15	25
sokoban	1	0	-	-	-	84	587	4	4	4
solitaire	0	0	124	0	-	238	848	27	8	10
stereo	0	0	0	0	yes	142	698	8	6	8
sudoku1	1	0	-	-	-	224	826	13	7	9
sudoku2	0	0	0	0	yes	477	1282	46	11	15
sudoku3	0	0	0	0	none	550	1973	46	8	17
sudoku4	1	0	-	-	-	471	1274	30	13	18
sudoku5	1	0	-	-	-	614	1400	59	14	19
sunfish	1	0	-	-	-	112	808	13	4	6
tarsalzp	1	0	-	-	-	502	1696	10	5	7
tictactoe	0	0	0	0	NO	375	1141	24	8	9
timsort	0	0	0	124	-	292	1209	7	4	5
tonyjpegdecoder	0	0	124	0	-	568	1677	35	7	18
voronoi	0	0	0	0	yes	218	744	12	6	7
voronoi2	1	0	-	-	-	454	1468	34	14	19
webserver	1	0	-	-	-	390	1121	18	9	10
yopyra	0	0	124	124	-	342	1049	13	10	10
DONE
