# key   check__default__2c1a8e8f+e7b8451f
# mode  check   env: (default)
# tree  2c1a8e8f+e7b8451f
# content 5c06c1ed9f24
# date  2026-09-12T06:32:26-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	242	986	14	5	6
adatron	0	0	134	124	-	416	1229	50	13	19
amaze	0	7	134	0	-	666	2168	52	11	17
ant	0	0	0	0	NO	222	845	17	7	9
astar	0	0	0	0	yes	48	531	5	2	2
bh	0	1	0	124	-	370	1329	22	8	13
block	0	0	0	0	NO	301	1079	20	9	11
brainfuck	0	0	0	0	NO	123	720	9	5	5
chaos	0	0	0	124	-	459	1325	31	9	16
chess	0	0	124	124	-	686	2302	62	12	19
chull	0	0	139	124	-	481	1302	51	14	27
circle	0	0	0	0	NO	122	702	9	6	6
collatz	0	0	0	0	NO	173	730	15	5	8
dijkstra	0	6	0	0	NO	271	1029	21	6	8
dijkstra2	0	4	124	0	-	375	1244	47	15	21
doom	0	157	134	1	-	204	1085	30	7	10
fysphun	0	0	0	0	yes	238	822	13	8	9
genetic	0	0	0	0	NO	173	846	9	5	5
genetic2	0	3	134	0	-	396	1168	27	10	11
go	0	10	0	0	NO	622	1696	37	12	15
hq2x	0	0	0	124	-	626	2393	20	5	6
kanoodle	0	5	0	0	NO	491	1390	113	8	21
kmeanspp	0	4	134	124	-	66	616	6	3	3
life	0	12	134	0	-	243	901	20	8	8
linalg	0	33	134	0	-	617	1552	49	5	11
loop	0	0	124	0	-	348	1129	32	12	15
lz2	0	29	134	0	-	179	921	17	6	9
mandelbrot	0	0	0	0	NO	97	617	6	3	3
mandelbrot2	0	0	0	0	NO	285	980	30	9	14
mao	0	2	0	124	-	311	1026	17	8	9
mastermind2	0	34	134	0	-	385	1307	28	8	9
minilight	0	9	134	124	-	224	1310	13	8	8
minpng	0	6	0	0	NO	115	667	10	6	6
msp_ss	0	174	0	0	yes	834	2700	92	15	23
mwmatching	0	7	134	0	-	67	616	7	4	4
nbody	0	0	0	0	NO	113	707	8	5	5
neural1	0	14	139	0	-	279	1032	27	10	14
neural2	0	0	0	0	NO	219	915	29	5	9
oliva2	0	0	0	124	-	197	806	13	4	6
othello	0	0	0	0	NO	329	1142	40	9	15
othello2	0	46	134	0	-	305	1260	17	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	1013	11	7	7
pisang	0	0	134	124	-	366	1055	27	6	9
plcfrs	0	97	134	0	-	1089	2551	137	26	47
pygasus	0	2	134	124	-	1666	3883	113	11	19
pygmy	0	0	0	124	-	407	1557	20	9	9
pylife	0	0	124	0	-	416	1439	26	7	12
pystone	0	0	0	0	NO	170	782	13	5	7
quameon	0	55	134	0	-	1079	2994	128	17	32
rdb	1	88	-	-	-	1033	2702	128	16	35
richards	0	4	0	124	-	208	980	10	4	6
rsync	0	27	134	1	-	101	692	12	6	6
rubik	0	129	134	0	-	713	3580	125	11	21
rubik2	0	0	124	124	-	361	1078	41	8	20
sat	0	16	134	0	-	90	675	9	4	5
score4	0	0	0	124	-	224	860	17	8	11
sha	0	0	0	0	NO	290	1020	25	5	9
sieve	0	0	0	0	NO	250	883	20	5	11
softrender	0	50	134	0	-	752	2242	64	15	26
sokoban	0	17	0	0	NO	85	672	10	4	4
solitaire	0	1	124	0	-	239	988	30	8	10
stereo	0	0	0	0	yes	178	1057	192	6	9
sudoku1	0	12	0	0	NO	241	978	31	7	9
sudoku2	0	0	0	0	NO	366	1324	30	11	15
sudoku3	0	0	0	0	NO	454	1855	49	8	16
sudoku4	0	15	134	0	-	424	1278	41	14	16
sudoku5	0	19	0	0	NO	643	1636	64	14	19
sunfish	0	46	134	0	-	118	905	20	4	7
tarsalzp	0	170	139	0	-	562	2031	26	5	7
tictactoe	0	0	0	0	NO	378	1257	34	8	9
timsort	0	24	134	124	-	207	920	9	3	3
tonyjpegdecoder	0	0	124	0	-	559	1881	61	7	18
voronoi	0	0	0	0	NO	158	749	12	5	5
voronoi2	0	17	0	0	NO	446	1668	40	14	22
webserver	0	4	124	124	-	378	1278	27	9	10
yopyra	0	0	124	124	-	342	1229	16	10	10
DONE
