# key   check__default__506fc825+87753005
# mode  check   env: (default)
# tree  506fc825+87753005
# content d546ec1928b0
# date  2026-09-17T16:49:43-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	243	849	7	4	5
adatron	0	0	134	124	-	407	1054	38	13	18
amaze	1	0	-	-	-	734	2041	55	11	18
ant	0	0	0	0	NO	329	850	22	7	9
astar	0	0	0	0	yes	48	482	2	2	2
bh	0	1	0	124	-	380	1145	20	8	13
block	0	0	0	0	NO	278	895	12	9	11
brainfuck	0	0	0	0	yes	122	617	5	5	5
chaos	0	0	0	124	-	552	1282	31	9	16
chess	0	0	124	124	-	562	1435	53	12	19
chull	0	0	139	124	-	587	1262	53	15	31
circle	0	0	0	0	NO	122	603	6	6	6
collatz	0	0	0	0	yes	168	620	9	5	8
dijkstra	0	0	0	0	none	410	1076	29	9	12
dijkstra2	0	0	124	0	-	428	1178	44	16	23
doom	1	0	-	-	-	202	934	14	7	9
fysphun	0	0	0	0	yes	247	702	10	8	9
genetic	0	0	0	0	yes	246	821	9	6	7
genetic2	1	0	-	-	-	465	1102	31	11	13
go	1	0	-	-	-	699	1641	37	11	15
hq2x	0	0	0	0	yes	606	2173	10	5	6
kanoodle	1	0	-	-	-	387	1031	29	8	19
kmeanspp	1	0	-	-	-	67	568	5	4	5
life	1	0	-	-	-	363	957	22	9	10
linalg	1	0	-	-	-	1013	1956	83	3	11
loop	0	0	124	0	-	335	947	23	12	16
lz2	1	0	-	-	-	171	783	8	5	8
mandelbrot	0	0	0	0	yes	97	529	2	2	2
mandelbrot2	0	0	0	0	none	307	876	29	9	14
mao	1	0	-	-	-	364	958	13	8	9
mastermind2	1	0	-	-	-	426	1210	22	8	9
minilight	1	0	-	-	-	223	1187	12	8	9
minpng	1	0	-	-	-	115	577	7	6	6
msp_ss	1	0	-	-	-	862	2501	82	15	22
mwmatching	1	0	-	-	-	67	548	3	3	3
nbody	0	0	0	0	yes	113	608	4	4	4
neural1	1	0	-	-	-	267	863	18	10	14
neural2	0	0	0	0	NO	275	876	24	5	10
oliva2	0	0	0	124	-	265	781	11	5	8
othello	0	0	0	0	yes	279	880	34	9	14
othello2	1	0	-	-	-	302	1091	12	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	262	947	11	8	9
pisang	0	0	134	124	-	359	920	22	6	8
plcfrs	1	0	-	-	-	1242	2440	152	26	47
pygasus	1	0	-	-	-	1637	3264	24	7	13
pygmy	0	0	0	124	-	940	3833	19	10	11
pylife	0	0	124	0	-	470	1399	26	7	13
pystone	0	0	0	0	NO	169	663	10	5	7
quameon	0	0	134	0	-	1298	2796	115	16	29
rdb	1	0	-	-	-	1035	2416	112	16	35
richards	1	0	-	-	-	208	818	7	4	6
rsync	1	0	-	-	-	101	600	7	6	6
rubik	1	0	-	-	-	764	3587	110	11	21
rubik2	0	0	124	124	-	444	1047	35	8	20
sat	1	0	-	-	-	90	589	5	4	4
score4	0	0	0	124	-	224	745	13	8	11
sha	0	0	0	0	NO	317	911	22	5	9
sieve	0	0	0	0	NO	240	747	15	5	11
softrender	1	0	-	-	-	937	2204	74	15	25
sokoban	1	0	-	-	-	85	588	4	4	4
solitaire	0	0	124	0	-	239	848	27	8	10
stereo	0	0	0	0	yes	143	698	8	6	8
sudoku1	1	0	-	-	-	225	826	13	7	9
sudoku2	0	0	0	0	yes	477	1281	46	11	15
sudoku3	0	0	0	0	none	551	1972	46	8	17
sudoku4	1	0	-	-	-	478	1294	30	13	18
sudoku5	1	0	-	-	-	615	1400	59	14	19
sunfish	1	0	-	-	-	112	808	13	4	6
tarsalzp	1	0	-	-	-	503	1695	10	5	7
tictactoe	0	0	0	0	NO	375	1140	24	8	9
timsort	0	0	0	124	-	292	1208	7	4	5
tonyjpegdecoder	0	0	124	0	-	569	1676	35	7	18
voronoi	0	0	0	0	yes	218	743	12	6	7
voronoi2	1	0	-	-	-	455	1467	34	14	19
webserver	1	0	-	-	-	390	1121	18	9	10
yopyra	0	0	124	124	-	342	1048	13	10	10
DONE
