# key   check__default__6256be72+4737e9ab
# mode  check   env: (default)
# tree  6256be72+4737e9ab
# content 91adbaaff32e
# date  2026-09-15T09:04:18-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	243	849	7	4	5
adatron	0	0	134	124	-	407	1054	38	13	18
amaze	0	7	134	0	-	672	2005	53	11	17
ant	0	0	0	0	NO	264	750	20	7	9
astar	0	0	0	0	yes	48	482	2	2	2
bh	0	1	0	124	-	380	1145	20	8	13
block	0	0	0	0	NO	278	895	12	9	11
brainfuck	0	0	0	0	NO	122	617	5	5	5
chaos	0	0	0	124	-	482	1184	29	9	16
chess	0	0	124	124	-	562	1435	53	12	19
chull	0	0	139	124	-	529	1170	50	14	29
circle	0	0	0	0	NO	122	603	6	6	6
collatz	0	0	0	0	NO	168	620	9	5	8
dijkstra	0	6	0	0	NO	283	905	19	6	8
dijkstra2	0	4	124	0	-	372	1090	41	15	21
doom	0	157	134	1	-	201	923	14	7	9
fysphun	0	0	0	0	yes	247	702	10	8	9
genetic	0	0	0	0	NO	173	719	6	5	5
genetic2	0	3	134	0	-	400	1009	28	10	11
go	0	10	0	0	NO	642	1548	35	11	14
hq2x	0	0	0	124	-	606	2173	10	5	6
kanoodle	0	5	139	0	-	387	1031	29	8	19
kmeanspp	0	4	134	124	-	66	552	3	3	3
life	0	18	134	0	-	363	957	22	9	10
linalg	0	33	134	0	-	1013	1956	83	3	11
loop	0	0	124	0	-	335	947	23	12	16
lz2	0	29	134	0	-	171	783	8	5	8
mandelbrot	0	0	0	0	NO	97	529	2	2	2
mandelbrot2	0	0	0	0	NO	307	876	29	9	14
mao	0	2	0	124	-	312	871	13	8	9
mastermind2	0	24	134	0	-	371	1120	20	8	9
minilight	0	9	134	124	-	222	1172	10	8	8
minpng	0	6	0	0	NO	115	577	7	6	6
msp_ss	0	194	0	0	yes	862	2501	82	15	22
mwmatching	0	7	134	0	-	67	548	3	3	3
nbody	0	0	0	0	NO	113	608	4	4	4
neural1	0	14	139	0	-	267	863	18	10	14
neural2	0	0	0	0	NO	212	781	21	5	9
oliva2	0	0	0	124	-	196	682	8	4	6
othello	0	0	0	0	NO	279	880	34	9	14
othello2	0	46	134	0	-	302	1091	12	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	854	8	7	7
pisang	0	0	134	124	-	359	920	22	6	8
plcfrs	0	122	134	0	-	1242	2440	152	26	47
pygasus	0	52	134	124	-	1637	3264	24	7	13
pygmy	0	0	0	124	-	807	3366	16	9	9
pylife	0	0	124	0	-	416	1310	23	7	12
pystone	0	0	0	0	NO	169	663	10	5	7
quameon	0	0	134	0	-	1223	2683	107	17	30
rdb	1	82	-	-	-	1009	2343	111	16	35
richards	0	4	0	124	-	208	818	7	4	6
rsync	0	27	134	1	-	101	600	7	6	6
rubik	0	134	134	0	-	706	3493	108	11	20
rubik2	0	0	124	124	-	393	968	35	8	20
sat	0	16	134	0	-	90	589	5	4	4
score4	0	0	0	124	-	224	745	13	8	11
sha	0	0	0	0	NO	317	911	22	5	9
sieve	0	0	0	0	NO	240	747	15	5	11
softrender	0	13	134	0	-	937	2204	74	15	25
sokoban	0	17	0	0	NO	85	588	4	4	4
solitaire	0	1	124	0	-	239	848	27	8	10
stereo	0	0	0	0	yes	143	698	8	6	8
sudoku1	0	7	0	0	NO	220	824	13	7	9
sudoku2	0	0	0	0	NO	477	1281	46	11	15
sudoku3	0	0	0	0	NO	545	1970	46	8	17
sudoku4	1	39	-	-	-	478	1294	30	13	18
sudoku5	0	19	0	0	NO	615	1400	59	14	19
sunfish	0	42	134	0	-	112	808	13	4	6
tarsalzp	0	170	139	0	-	503	1695	10	5	7
tictactoe	0	0	0	0	NO	375	1140	24	8	9
timsort	0	0	0	124	-	249	1121	5	4	4
tonyjpegdecoder	0	0	124	0	-	569	1676	35	7	18
voronoi	0	0	0	0	NO	158	647	9	5	5
voronoi2	0	33	0	0	NO	455	1467	34	14	19
webserver	0	7	124	124	-	390	1121	18	9	10
yopyra	0	0	124	124	-	342	1048	13	10	10
DONE
