# key   check__default__7a1823c4
# mode  check   env: (default)
# tree  7a1823c4
# content aca510c8c7cb
# date  2026-09-04T12:05:41-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	274	1139	15	5	6
adatron	0	10	134	124	-	422	1491	52	13	18
amaze	0	13	134	0	-	732	2732	79	11	17
ant	0	0	0	0	NO	259	1007	25	7	9
astar	0	0	0	0	yes	48	530	5	2	2
bh	0	1	0	124	-	421	1591	25	8	13
block	0	0	0	0	NO	301	1209	20	9	11
brainfuck	0	0	0	0	NO	123	741	9	5	5
chaos	0	5	0	124	-	508	1709	39	9	17
chess	0	0	124	124	-	1591	6433	169	12	19
chull	0	6	1	124	-	562	1783	62	14	29
circle	0	0	0	0	NO	122	725	9	6	6
collatz	0	0	0	0	NO	173	798	15	5	8
dijkstra	0	8	0	0	NO	286	1196	28	6	8
dijkstra2	0	5	124	0	-	372	1480	53	15	21
doom	0	210	134	1	-	204	1145	31	7	10
fysphun	0	0	0	0	yes	248	951	17	8	9
genetic	0	0	0	0	NO	173	892	9	5	5
genetic2	0	3	134	0	-	401	1412	33	10	11
go	0	15	0	0	NO	657	2203	60	12	17
hq2x	0	0	0	0	NO	635	2834	26	5	6
kanoodle	0	6	0	0	NO	550	1844	152	8	23
kmeanspp	0	4	134	124	-	66	618	6	3	3
life	0	17	134	0	-	245	1014	21	8	8
linalg	0	34	134	0	-	1981	5435	245	5	15
loop	0	0	124	0	-	350	1313	34	12	17
lz2	0	39	134	0	-	179	972	17	6	9
mandelbrot	0	0	0	0	NO	97	627	6	3	3
mandelbrot2	0	0	0	0	NO	511	1765	66	9	14
mao	0	3	0	124	-	325	1220	19	8	9
mastermind2	0	54	134	0	-	421	1589	50	8	9
minilight	0	14	134	124	-	224	1397	13	8	8
minpng	0	9	0	0	NO	115	692	10	6	6
msp_ss	0	264	0	0	yes	918	3491	109	15	23
mwmatching	0	10	134	0	-	67	616	7	4	4
nbody	0	0	0	0	NO	113	722	8	5	5
neural1	0	28	139	0	-	278	1152	27	10	14
neural2	0	0	0	0	NO	225	1017	32	5	9
oliva2	0	0	0	124	-	202	888	14	4	6
othello	0	8	134	0	-	209	935	32	8	11
othello2	0	80	134	0	-	312	1412	18	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	1059	11	7	7
pisang	0	0	134	124	-	364	1288	28	6	9
plcfrs	0	123	134	0	-	1299	3825	187	27	51
pygasus	0	3	134	124	-	1672	5035	119	11	19
pygmy	0	0	0	124	-	467	1927	36	9	10
pylife	0	0	124	0	-	660	3145	39	7	17
pystone	0	0	0	0	NO	173	838	13	5	7
quameon	0	69	134	0	-	1267	4024	186	17	32
rdb	0	130	1	1	-	1118	3669	167	15	35
richards	0	4	0	124	-	226	1066	20	4	6
rsync	0	38	134	1	-	101	703	12	6	6
rubik	0	176	134	0	-	852	4346	194	11	26
rubik2	0	0	124	124	-	474	1511	61	8	20
sat	0	19	134	0	-	108	770	10	5	6
score4	0	0	0	124	-	224	972	18	8	11
sha	0	0	0	0	NO	349	1317	40	5	9
sieve	0	0	0	0	NO	249	1003	20	5	11
softrender	0	76	134	0	-	784	2821	94	15	26
sokoban	0	25	0	0	NO	85	676	10	4	4
solitaire	0	6	124	0	-	250	1108	37	8	10
stereo	0	0	0	0	yes	178	1150	192	6	9
sudoku1	0	15	0	0	NO	240	1093	33	7	9
sudoku2	0	0	0	0	NO	477	1793	54	11	15
sudoku3	0	48	134	0	-	468	1764	62	8	16
sudoku4	0	21	134	0	-	424	1563	49	14	17
sudoku5	1	82	-	-	-	717	2463	67	15	22
sunfish	0	55	134	0	-	118	931	20	4	7
tarsalzp	0	213	139	0	-	566	2225	45	5	7
tictactoe	0	0	0	0	NO	403	1545	37	8	9
timsort	0	32	134	124	-	211	996	11	3	3
tonyjpegdecoder	0	0	124	0	-	607	2342	91	7	18
voronoi	0	0	0	0	NO	158	805	12	5	5
voronoi2	0	27	0	0	NO	452	1918	42	14	23
webserver	0	6	124	124	-	386	1522	37	9	10
yopyra	0	20	124	124	-	427	1589	27	10	10
DONE
