# key   check__default__9a2ddd0d+06523fde
# mode  check   env: (default)
# tree  9a2ddd0d+06523fde
# content f0e4659db808
# date  2026-09-01T05:04:18-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match
ac_encode	0	0	124	124	-
adatron	0	10	134	124	-
amaze	0	13	139	0	-
ant	0	0	0	0	NO
astar	0	0	0	0	yes
bh	0	1	139	124	-
block	0	0	0	0	NO
brainfuck	0	0	0	0	NO
chaos	0	5	124	124	-
chess	1	0	-	-	-
chull	0	6	1	124	-
circle	0	0	0	0	NO
collatz	0	0	0	0	NO
dijkstra	0	8	0	0	NO
dijkstra2	0	5	124	0	-
doom	0	210	134	1	-
fysphun	0	0	0	0	yes
genetic	0	0	0	0	NO
genetic2	0	3	134	0	-
go	1	30	-	-	-
hq2x	0	0	0	0	NO
kanoodle	0	6	0	0	NO
kmeanspp	0	4	134	124	-
life	0	17	134	0	-
linalg	0	34	134	0	-
loop	0	0	124	0	-
lz2	0	39	134	0	-
mandelbrot	0	0	0	0	NO
mandelbrot2	0	0	0	0	NO
mao	0	3	0	124	-
mastermind2	0	54	134	0	-
minilight	0	14	134	124	-
minpng	0	9	0	0	NO
msp_ss	0	237	0	0	yes
mwmatching	0	10	134	0	-
nbody	0	0	0	0	NO
neural1	0	28	139	0	-
neural2	0	0	0	0	NO
oliva2	0	0	0	124	-
othello	0	8	134	0	-
othello2	0	80	134	0	-
othello3	1	0	-	-	-
path_tracing	0	0	124	124	-
pisang	0	0	134	124	-
plcfrs	0	123	134	0	-
pygasus	0	3	134	124	-
pygmy	0	0	0	124	-
pylife	0	0	124	0	-
pystone	0	0	0	0	NO
quameon	0	69	134	0	-
rdb	0	130	1	1	-
richards	0	4	139	124	-
rsync	0	38	134	1	-
rubik	0	176	134	0	-
rubik2	0	0	124	124	-
sat	0	19	134	0	-
score4	0	0	124	124	-
sha	0	0	0	0	NO
sieve	0	0	0	0	NO
softrender	0	76	134	0	-
sokoban	0	25	0	0	NO
solitaire	0	6	139	0	-
stereo	0	0	0	0	yes
sudoku1	0	15	0	0	NO
sudoku2	0	0	0	0	NO
sudoku3	0	48	134	0	-
sudoku4	0	21	134	0	-
sudoku5	1	82	-	-	-
sunfish	0	55	134	0	-
tarsalzp	0	231	139	0	-
tictactoe	0	0	0	0	NO
timsort	0	32	134	124	-
tonyjpegdecoder	0	0	124	0	-
voronoi	0	0	0	0	NO
voronoi2	0	27	0	0	NO
webserver	0	6	124	124	-
yopyra	0	20	124	124	-
DONE
