# key   check__default__b0ee5bb9+0fa284f7
# mode  check   env: (default)
# tree  b0ee5bb9+0fa284f7
# content 3c8daa8712b9
# date  2026-09-12T07:57:57-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	242	987	14	5	6
adatron	0	0	134	124	-	416	1230	50	13	19
amaze	0	7	134	0	-	666	2169	52	11	17
ant	0	0	0	0	NO	222	846	17	7	9
astar	0	0	0	0	yes	48	532	5	2	2
bh	0	1	0	124	-	370	1330	22	8	13
block	0	0	0	0	NO	301	1080	20	9	11
brainfuck	0	0	0	0	NO	123	721	9	5	5
chaos	0	0	0	124	-	459	1326	31	9	16
chess	0	0	124	124	-	686	2303	62	12	19
chull	0	0	139	124	-	481	1303	51	14	27
circle	0	0	0	0	NO	122	703	9	6	6
collatz	0	0	0	0	NO	173	731	15	5	8
dijkstra	0	6	0	0	NO	271	1030	21	6	8
dijkstra2	0	4	124	0	-	375	1245	47	15	21
doom	0	157	134	1	-	204	1086	30	7	10
fysphun	0	0	0	0	yes	238	823	13	8	9
genetic	0	0	0	0	NO	173	847	9	5	5
genetic2	0	3	134	0	-	396	1169	27	10	11
go	0	10	0	0	NO	622	1697	37	12	15
hq2x	0	0	0	124	-	626	2394	20	5	6
kanoodle	0	5	0	0	NO	491	1391	113	8	21
kmeanspp	0	4	134	124	-	66	617	6	3	3
life	0	18	134	0	-	354	1096	23	9	10
linalg	0	33	134	0	-	617	1553	49	5	11
loop	0	0	124	0	-	348	1130	32	12	15
lz2	0	29	134	0	-	179	922	17	6	9
mandelbrot	0	0	0	0	NO	97	618	6	3	3
mandelbrot2	0	0	0	0	NO	285	981	30	9	14
mao	0	2	0	124	-	311	1027	17	8	9
mastermind2	0	34	134	0	-	385	1308	28	8	9
minilight	0	9	134	124	-	224	1311	13	8	8
minpng	0	6	0	0	NO	115	668	10	6	6
msp_ss	0	174	0	0	yes	834	2701	92	15	23
mwmatching	0	7	134	0	-	67	617	7	4	4
nbody	0	0	0	0	NO	113	708	8	5	5
neural1	0	14	139	0	-	279	1033	27	10	14
neural2	0	0	0	0	NO	219	916	29	5	9
oliva2	0	0	0	124	-	197	807	13	4	6
othello	0	0	0	0	NO	329	1143	40	9	15
othello2	0	46	134	0	-	305	1261	17	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	1014	11	7	7
pisang	0	0	134	124	-	366	1056	27	6	9
plcfrs	0	97	134	0	-	1090	2554	137	26	47
pygasus	0	2	134	124	-	1666	3884	113	11	19
pygmy	0	0	0	124	-	407	1558	20	9	9
pylife	0	0	124	0	-	416	1440	26	7	12
pystone	0	0	0	0	NO	170	783	13	5	7
quameon	0	0	0	0	NO	1091	3004	128	17	32
rdb	1	88	-	-	-	1033	2703	128	16	35
richards	0	4	0	124	-	208	981	10	4	6
rsync	0	27	134	1	-	101	693	12	6	6
rubik	0	129	134	0	-	713	3581	125	11	21
rubik2	0	0	124	124	-	361	1079	41	8	20
sat	0	16	134	0	-	90	676	9	4	5
score4	0	0	0	124	-	224	861	17	8	11
sha	0	0	0	0	NO	290	1021	25	5	9
sieve	0	0	0	0	NO	250	884	20	5	11
softrender	0	13	134	0	-	871	2456	75	15	27
sokoban	0	17	0	0	NO	85	673	10	4	4
solitaire	0	1	124	0	-	239	989	30	8	10
stereo	0	0	0	0	yes	178	1058	192	6	9
sudoku1	0	12	0	0	NO	241	979	31	7	9
sudoku2	0	0	0	0	NO	366	1325	30	11	15
sudoku3	0	0	0	0	NO	454	1856	49	8	16
sudoku4	0	15	134	0	-	424	1279	41	14	16
sudoku5	0	19	0	0	NO	643	1637	64	14	19
sunfish	0	46	134	0	-	118	906	20	4	7
tarsalzp	0	170	139	0	-	562	2032	26	5	7
tictactoe	0	0	0	0	NO	378	1258	34	8	9
timsort	0	0	0	124	-	236	1146	10	4	4
tonyjpegdecoder	0	0	124	0	-	559	1882	61	7	18
voronoi	0	0	0	0	NO	158	750	12	5	5
voronoi2	0	17	0	0	NO	446	1669	40	14	22
webserver	0	4	124	124	-	378	1279	27	9	10
yopyra	0	0	124	124	-	342	1230	16	10	10
DONE
