# key   compile__PYC_CSDCPA1_2_PYC_CSLADDER_3_PYC_VIOLCS_3_PYC_CSMEMBER_1_PYC_CSCONTENT_1_PYC_ESBLOCK_1__95d14c97+60fb29ad
# mode  compile   env: PYC_CSDCPA1=2 PYC_CSLADDER=3 PYC_VIOLCS=3 PYC_CSMEMBER=1 PYC_CSCONTENT=1 PYC_ESBLOCK=1
# tree  95d14c97+60fb29ad
# content feef7e3f2920
# date  2026-09-11T06:51:28-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	247	853	12	5	6
adatron	0	10	-	-	-	407	1058	41	13	18
amaze	0	13	-	-	-	674	2013	59	11	17
ant	0	0	-	-	-	262	750	23	7	9
astar	0	0	-	-	-	48	480	2	2	2
bh	0	1	-	-	-	374	1145	20	8	13
block	0	0	-	-	-	282	900	18	9	11
brainfuck	0	0	-	-	-	123	619	9	5	5
chaos	0	5	-	-	-	491	1200	33	9	16
chess	0	0	-	-	-	593	1489	59	12	19
chull	0	6	-	-	-	538	1181	56	14	29
circle	0	0	-	-	-	122	604	9	6	6
collatz	0	0	-	-	-	171	624	14	5	8
dijkstra	0	8	-	-	-	305	926	26	6	8
dijkstra2	0	5	-	-	-	377	1092	47	15	21
doom	0	210	-	-	-	201	935	27	7	9
fysphun	0	0	-	-	-	238	700	13	8	9
genetic	0	0	-	-	-	173	720	9	5	5
genetic2	0	3	-	-	-	401	1010	31	10	11
go	0	15	-	-	-	625	1509	43	12	15
hq2x	0	0	-	-	-	618	2183	16	5	6
kanoodle	0	6	-	-	-	490	1105	58	8	19
kmeanspp	0	4	-	-	-	66	553	6	3	3
life	0	17	-	-	-	242	762	19	8	8
linalg	0	46	-	-	-	582	1326	55	5	13
loop	0	0	-	-	-	337	954	29	12	16
lz2	0	39	-	-	-	171	781	8	5	8
mandelbrot	0	0	-	-	-	97	527	2	2	2
mandelbrot2	0	0	-	-	-	307	877	32	9	14
mao	0	3	-	-	-	311	874	17	8	9
mastermind2	0	54	-	-	-	390	1141	26	8	9
minilight	0	14	-	-	-	222	1173	13	8	8
minpng	0	9	-	-	-	115	578	10	6	6
msp_ss	0	264	-	-	-	877	2546	90	15	23
mwmatching	0	10	-	-	-	67	546	3	3	3
nbody	0	0	-	-	-	113	606	4	4	4
neural1	0	28	-	-	-	270	869	24	10	14
neural2	0	0	-	-	-	213	783	24	5	9
oliva2	0	0	-	-	-	196	685	12	4	6
othello	0	8	-	-	-	211	722	31	8	11
othello2	0	80	-	-	-	312	1100	17	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	855	11	7	7
pisang	0	0	-	-	-	346	897	26	6	8
plcfrs	1	263	-	-	-	1267	3305	135	30	50
pygasus	0	53	-	-	-	1643	3272	31	7	13
pygmy	0	0	-	-	-	462	1442	20	9	10
pylife	0	0	-	-	-	457	1385	30	7	17
pystone	0	0	-	-	-	169	665	13	5	7
quameon	0	69	-	-	-	1270	2733	140	17	30
rdb	1	113	-	-	-	1001	2348	120	16	35
richards	0	4	-	-	-	209	820	10	4	6
rsync	0	38	-	-	-	101	603	12	6	6
rubik	0	183	-	-	-	701	3409	115	11	20
rubik2	0	0	-	-	-	374	954	36	8	20
sat	0	19	-	-	-	107	660	8	5	5
score4	0	0	-	-	-	224	748	17	8	11
sha	0	0	-	-	-	316	916	30	5	9
sieve	0	0	-	-	-	241	750	19	5	11
softrender	0	76	-	-	-	782	2017	64	15	24
sokoban	0	25	-	-	-	85	586	4	4	4
solitaire	0	6	-	-	-	239	847	30	8	10
stereo	0	0	-	-	-	145	701	13	6	9
sudoku1	0	9	-	-	-	221	828	18	7	9
sudoku2	0	0	-	-	-	448	1278	51	11	15
sudoku3	0	48	-	-	-	515	1412	55	8	16
sudoku4	0	21	-	-	-	469	1190	43	14	17
sudoku5	1	121	-	-	-	766	2193	57	15	22
sunfish	0	55	-	-	-	118	814	20	4	6
tarsalzp	0	213	-	-	-	550	1646	29	5	7
tictactoe	0	6	-	-	-	407	1172	33	8	9
timsort	0	32	-	-	-	211	786	11	3	3
tonyjpegdecoder	0	0	-	-	-	588	1692	47	7	18
voronoi	0	0	-	-	-	158	648	12	5	5
voronoi2	0	49	-	-	-	456	1474	41	14	20
webserver	0	0	-	-	-	342	1049	26	9	10
yopyra	0	20	-	-	-	393	1142	19	10	10
DONE
