# key   compile__PYC_CSDCPA1_2_PYC_CSLADDER_3_PYC_VIOLCS_3_PYC_CSMEMBER_1_PYC_CSCONTENT_1_PYC_WALKCTX_1_PYC_CSCALLSITE_3_PYC_CONTAINERUNION_1__39079fd9+99c0e972
# mode  compile   env: PYC_CSDCPA1=2 PYC_CSLADDER=3 PYC_VIOLCS=3 PYC_CSMEMBER=1 PYC_CSCONTENT=1 PYC_WALKCTX=1 PYC_CSCALLSITE=3 PYC_CONTAINERUNION=1
# tree  39079fd9+99c0e972
# content 1f367d43e6bb
# date  2026-09-10T16:55:35-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	247	853	12	5	6
adatron	0	10	-	-	-	415	1079	44	13	18
amaze	0	21	-	-	-	686	2040	60	11	17
ant	0	0	-	-	-	262	750	23	7	9
astar	0	0	-	-	-	48	480	2	2	2
bh	0	1	-	-	-	375	1145	20	8	13
block	0	0	-	-	-	282	900	18	9	11
brainfuck	0	0	-	-	-	123	619	9	5	5
chaos	0	5	-	-	-	491	1200	33	9	16
chess	0	0	-	-	-	597	1755	59	12	19
chull	0	6	-	-	-	539	1181	56	14	29
circle	0	0	-	-	-	122	604	9	6	6
collatz	0	0	-	-	-	169	623	13	5	8
dijkstra	0	8	-	-	-	287	909	25	6	8
dijkstra2	0	5	-	-	-	386	1119	52	15	21
doom	0	210	-	-	-	201	935	27	7	9
fysphun	0	0	-	-	-	238	700	13	8	9
genetic	0	0	-	-	-	173	720	9	5	5
genetic2	0	3	-	-	-	401	1010	31	10	11
go	1	25	-	-	-	632	1554	43	13	16
hq2x	0	0	-	-	-	620	2186	18	5	6
kanoodle	0	6	-	-	-	488	1108	58	8	19
kmeanspp	0	4	-	-	-	66	553	6	3	3
life	0	17	-	-	-	247	779	23	8	8
linalg	0	53	-	-	-	709	1591	70	5	16
loop	0	0	-	-	-	339	954	27	12	16
lz2	0	39	-	-	-	171	781	8	5	8
mandelbrot	0	0	-	-	-	97	527	2	2	2
mandelbrot2	0	0	-	-	-	307	877	32	9	14
mao	0	3	-	-	-	311	874	17	8	9
mastermind2	0	54	-	-	-	385	1138	25	8	9
minilight	0	14	-	-	-	222	1173	13	8	8
minpng	0	9	-	-	-	115	578	10	6	6
msp_ss	0	264	-	-	-	872	2526	90	15	23
mwmatching	0	10	-	-	-	67	546	3	3	3
nbody	0	0	-	-	-	113	606	4	4	4
neural1	0	28	-	-	-	270	869	24	10	14
neural2	0	0	-	-	-	213	783	24	5	9
oliva2	0	0	-	-	-	202	686	13	4	6
othello	0	8	-	-	-	202	716	30	8	11
othello2	0	80	-	-	-	312	1100	17	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	855	11	7	7
pisang	0	0	-	-	-	422	1029	33	6	9
plcfrs	1	406	-	-	-	1290	3269	145	30	52
pygasus	0	53	-	-	-	1640	3271	31	7	14
pygmy	0	0	-	-	-	462	1442	20	9	10
pylife	0	0	-	-	-	481	1437	32	7	17
pystone	0	0	-	-	-	169	665	13	5	7
quameon	0	76	-	-	-	1274	2756	142	17	30
rdb	1	113	-	-	-	1103	2728	130	16	36
richards	0	4	-	-	-	208	820	10	4	6
rsync	0	38	-	-	-	101	603	12	6	6
rubik	0	183	-	-	-	701	3409	115	11	20
rubik2	0	0	-	-	-	384	985	37	8	20
sat	0	19	-	-	-	107	660	8	5	5
score4	0	0	-	-	-	224	748	17	8	11
sha	0	0	-	-	-	316	916	30	5	9
sieve	0	0	-	-	-	241	750	19	5	11
softrender	0	76	-	-	-	793	2009	65	15	24
sokoban	0	25	-	-	-	85	586	4	4	4
solitaire	0	6	-	-	-	239	847	30	8	10
stereo	0	0	-	-	-	145	701	13	6	9
sudoku1	0	17	-	-	-	230	930	19	7	9
sudoku2	0	0	-	-	-	426	1241	46	11	15
sudoku3	0	48	-	-	-	543	1437	56	8	16
sudoku4	0	21	-	-	-	438	1140	40	14	17
sudoku5	0	24	-	-	-	610	1426	65	14	19
sunfish	0	55	-	-	-	118	814	20	4	6
tarsalzp	0	213	-	-	-	500	1590	21	5	7
tictactoe	0	6	-	-	-	406	1171	33	8	9
timsort	0	32	-	-	-	211	786	11	3	3
tonyjpegdecoder	0	0	-	-	-	590	1691	47	7	18
voronoi	0	0	-	-	-	158	648	12	5	5
voronoi2	0	49	-	-	-	456	1474	41	14	20
webserver	0	6	-	-	-	383	1131	30	9	10
yopyra	0	20	-	-	-	393	1142	19	10	10
DONE
