# key   compile__PYC_CSDCPA1_2_PYC_CSLADDER_3_PYC_VIOLCS_3_PYC_CSMEMBER_1_PYC_CSCONTENT_1__3f0cb228+0439de14
# mode  compile   env: PYC_CSDCPA1=2 PYC_CSLADDER=3 PYC_VIOLCS=3 PYC_CSMEMBER=1 PYC_CSCONTENT=1
# tree  3f0cb228+0439de14
# content 0c7900897ce4
# date  2026-09-10T20:28:41-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	247	853	12	5	6
adatron	0	10	-	-	-	423	1088	51	13	18
amaze	0	13	-	-	-	706	2045	70	11	17
ant	0	0	-	-	-	260	749	23	7	9
astar	0	0	-	-	-	48	480	2	2	2
bh	0	1	-	-	-	380	1147	22	8	13
block	0	0	-	-	-	282	900	18	9	11
brainfuck	0	0	-	-	-	123	619	9	5	5
chaos	0	5	-	-	-	487	1198	32	9	16
chess	0	0	-	-	-	776	2496	65	12	19
chull	0	6	-	-	-	556	1213	57	14	29
circle	0	0	-	-	-	122	604	9	6	6
collatz	0	0	-	-	-	173	625	14	5	8
dijkstra	0	8	-	-	-	284	907	24	6	8
dijkstra2	0	5	-	-	-	371	1091	49	15	21
doom	0	210	-	-	-	201	935	27	7	9
fysphun	0	2	-	-	-	238	699	12	7	8
genetic	0	0	-	-	-	173	719	8	5	5
genetic2	0	3	-	-	-	399	1010	31	10	11
go	0	15	-	-	-	684	1573	44	12	15
hq2x	0	0	-	-	-	616	2183	17	5	6
kanoodle	0	6	-	-	-	521	1257	119	8	19
kmeanspp	0	4	-	-	-	66	553	6	3	3
life	0	17	-	-	-	238	763	20	8	8
linalg	1	166	-	-	-	537	1276	39	5	13
loop	0	0	-	-	-	422	1101	41	12	16
lz2	0	39	-	-	-	171	781	8	5	8
mandelbrot	0	0	-	-	-	97	527	2	2	2
mandelbrot2	0	0	-	-	-	308	876	31	9	14
mao	0	3	-	-	-	312	873	16	8	9
mastermind2	0	54	-	-	-	390	1137	25	8	9
minilight	0	14	-	-	-	222	1173	13	8	8
minpng	0	11	-	-	-	116	578	9	6	6
msp_ss	0	264	-	-	-	880	2555	86	15	23
mwmatching	0	10	-	-	-	67	546	3	3	3
nbody	0	0	-	-	-	113	606	4	4	4
neural1	0	28	-	-	-	270	869	24	10	14
neural2	0	0	-	-	-	218	787	28	5	9
oliva2	0	0	-	-	-	201	686	13	4	6
othello	0	8	-	-	-	214	735	30	8	11
othello2	0	80	-	-	-	314	1101	17	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	855	11	7	7
pisang	0	0	-	-	-	340	890	24	6	8
plcfrs	1	501	-	-	-	1245	3296	105	27	45
pygasus	0	3	-	-	-	1668	3360	117	11	19
pygmy	0	0	-	-	-	458	1441	20	9	10
pylife	0	0	-	-	-	457	1383	30	7	16
pystone	0	0	-	-	-	171	665	13	5	7
quameon	0	69	-	-	-	1244	2705	144	17	30
rdb	1	305	-	-	-	1237	4200	106	21	41
richards	0	4	-	-	-	208	820	10	4	6
rsync	0	38	-	-	-	101	602	11	6	6
rubik	0	170	-	-	-	701	3409	114	11	20
rubik2	0	0	-	-	-	382	958	35	8	20
sat	0	19	-	-	-	107	660	8	5	5
score4	0	0	-	-	-	223	748	17	8	11
sha	0	0	-	-	-	319	898	27	5	9
sieve	0	0	-	-	-	250	755	20	5	11
softrender	0	75	-	-	-	800	2011	66	15	24
sokoban	0	25	-	-	-	85	586	4	4	4
solitaire	0	6	-	-	-	240	852	30	8	9
stereo	0	0	-	-	-	144	700	12	6	8
sudoku1	0	9	-	-	-	219	826	17	7	9
sudoku2	0	9	-	-	-	583	1515	50	12	19
sudoku3	1	135	-	-	-	534	1566	32	12	16
sudoku4	0	21	-	-	-	424	1095	41	14	17
sudoku5	0	24	-	-	-	616	1424	64	14	19
sunfish	0	52	-	-	-	113	812	19	4	6
tarsalzp	0	231	-	-	-	534	1728	20	5	7
tictactoe	0	0	-	-	-	402	1166	32	8	9
timsort	0	32	-	-	-	211	786	11	3	3
tonyjpegdecoder	0	0	-	-	-	584	1687	43	7	18
voronoi	0	0	-	-	-	158	648	12	5	5
voronoi2	1	121	-	-	-	485	1585	38	18	24
webserver	0	6	-	-	-	393	1129	28	9	10
yopyra	0	20	-	-	-	393	1142	19	10	10
DONE
