# key   compile__PYC_CSDCPA1_2_PYC_CSLADDER_3_PYC_VIOLCS_3_PYC_CSMEMBER_1__af467129+3e48560d
# mode  compile   env: PYC_CSDCPA1=2 PYC_CSLADDER=3 PYC_VIOLCS=3 PYC_CSMEMBER=1
# tree  af467129+3e48560d
# content 1732d059aade
# date  2026-09-10T08:16:16-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	247	853	12	5	6
adatron	0	10	-	-	-	422	1070	51	13	18
amaze	0	13	-	-	-	684	2018	51	11	17
ant	0	0	-	-	-	262	750	23	7	9
astar	0	0	-	-	-	48	480	2	2	2
bh	0	1	-	-	-	378	1147	22	8	13
block	0	0	-	-	-	282	900	18	9	11
brainfuck	0	0	-	-	-	123	619	9	5	5
chaos	0	5	-	-	-	491	1200	33	9	16
chess	0	0	-	-	-	592	1452	59	12	19
chull	0	6	-	-	-	557	1200	59	14	29
circle	0	0	-	-	-	122	604	9	6	6
collatz	0	0	-	-	-	169	623	13	5	8
dijkstra	0	8	-	-	-	284	907	24	6	8
dijkstra2	0	5	-	-	-	367	1070	49	15	21
doom	0	210	-	-	-	201	935	27	7	9
fysphun	0	0	-	-	-	238	700	13	8	9
genetic	0	0	-	-	-	173	720	9	5	5
genetic2	0	3	-	-	-	401	1010	31	10	11
go	0	15	-	-	-	652	1543	44	12	15
hq2x	0	0	-	-	-	616	2183	17	5	6
kanoodle	0	6	-	-	-	518	1245	118	8	19
kmeanspp	0	4	-	-	-	66	553	6	3	3
life	0	17	-	-	-	245	764	21	8	8
linalg	0	46	-	-	-	576	1323	55	5	13
loop	0	0	-	-	-	336	954	29	12	16
lz2	0	39	-	-	-	171	781	8	5	8
mandelbrot	0	0	-	-	-	97	527	2	2	2
mandelbrot2	0	0	-	-	-	307	877	32	9	14
mao	0	3	-	-	-	311	874	17	8	9
mastermind2	0	54	-	-	-	385	1138	25	8	9
minilight	0	14	-	-	-	222	1173	13	8	8
minpng	0	9	-	-	-	115	578	10	6	6
msp_ss	0	264	-	-	-	869	2526	90	15	23
mwmatching	0	10	-	-	-	67	546	3	3	3
nbody	0	0	-	-	-	113	606	4	4	4
neural1	0	28	-	-	-	270	869	24	10	14
neural2	0	0	-	-	-	213	786	27	5	9
oliva2	0	0	-	-	-	201	687	14	4	6
othello	0	8	-	-	-	202	716	30	8	11
othello2	0	80	-	-	-	312	1100	17	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	855	11	7	7
pisang	0	0	-	-	-	341	892	24	6	8
plcfrs	0	162	-	-	-	1207	2440	159	26	47
pygasus	0	3	-	-	-	1661	3293	51	11	17
pygmy	0	0	-	-	-	462	1442	20	9	10
pylife	0	0	-	-	-	457	1384	30	7	17
pystone	0	0	-	-	-	171	665	13	5	7
quameon	0	76	-	-	-	1272	2744	145	17	30
rdb	1	113	-	-	-	1007	2388	118	16	35
richards	0	4	-	-	-	208	820	10	4	6
rsync	0	38	-	-	-	101	603	12	6	6
rubik	0	183	-	-	-	701	3409	115	11	20
rubik2	0	0	-	-	-	387	961	36	8	20
sat	0	19	-	-	-	107	660	8	5	5
score4	0	0	-	-	-	224	748	17	8	11
sha	0	0	-	-	-	316	916	30	5	9
sieve	0	0	-	-	-	250	755	20	5	11
softrender	0	76	-	-	-	794	2010	66	15	24
sokoban	0	25	-	-	-	85	586	4	4	4
solitaire	0	6	-	-	-	240	852	30	8	9
stereo	0	0	-	-	-	145	701	13	6	9
sudoku1	0	9	-	-	-	219	826	17	7	9
sudoku2	0	0	-	-	-	460	1301	48	11	15
sudoku3	1	121	-	-	-	688	1734	49	11	20
sudoku4	0	21	-	-	-	453	1173	42	14	16
sudoku5	0	24	-	-	-	631	1478	65	14	19
sunfish	0	55	-	-	-	118	814	20	4	6
tarsalzp	0	213	-	-	-	500	1590	21	5	7
tictactoe	0	6	-	-	-	406	1171	33	8	9
timsort	0	32	-	-	-	211	786	11	3	3
tonyjpegdecoder	0	0	-	-	-	587	1691	47	7	18
voronoi	0	0	-	-	-	158	648	12	5	5
voronoi2	0	49	-	-	-	456	1474	41	14	20
webserver	0	6	-	-	-	394	1129	28	9	10
yopyra	0	20	-	-	-	393	1142	19	10	10
DONE
