# key   compile__PYC_CSDCPA1_2_PYC_CSLADDER_3__af467129+3e48560d
# mode  compile   env: PYC_CSDCPA1=2 PYC_CSLADDER=3
# tree  af467129+3e48560d
# content f89191c52cbe
# date  2026-09-10T08:10:42-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	243	847	7	4	5
adatron	0	10	-	-	-	421	1066	48	13	18
amaze	0	13	-	-	-	695	2016	46	11	17
ant	0	0	-	-	-	264	748	20	7	9
astar	0	0	-	-	-	48	480	2	2	2
bh	0	11	-	-	-	372	1136	17	9	13
block	0	0	-	-	-	278	893	12	9	11
brainfuck	0	0	-	-	-	122	615	5	5	5
chaos	0	5	-	-	-	491	1197	30	9	16
chess	0	0	-	-	-	560	1432	53	12	19
chull	1	0	-	-	-	568	1198	54	15	28
circle	0	0	-	-	-	122	601	6	6	6
collatz	0	0	-	-	-	168	619	9	5	8
dijkstra	0	8	-	-	-	283	903	19	6	8
dijkstra2	0	5	-	-	-	373	1090	41	15	21
doom	0	210	-	-	-	201	922	14	7	9
fysphun	0	0	-	-	-	247	700	10	8	9
genetic	0	0	-	-	-	173	717	6	5	5
genetic2	0	3	-	-	-	398	1007	28	10	11
go	0	15	-	-	-	655	1542	36	12	15
hq2x	0	0	-	-	-	606	2172	10	5	6
kanoodle	0	6	-	-	-	518	1256	112	8	19
kmeanspp	0	4	-	-	-	66	550	3	3	3
life	0	17	-	-	-	242	759	17	8	8
linalg	0	112	-	-	-	652	1427	51	4	13
loop	0	0	-	-	-	335	946	23	12	16
lz2	0	39	-	-	-	171	781	8	5	8
mandelbrot	0	0	-	-	-	97	527	2	2	2
mandelbrot2	0	0	-	-	-	307	874	29	9	14
mao	0	3	-	-	-	312	870	13	8	9
mastermind2	0	42	-	-	-	370	1120	20	8	9
minilight	0	14	-	-	-	222	1170	10	8	8
minpng	0	9	-	-	-	115	575	7	6	6
msp_ss	0	264	-	-	-	862	2499	82	15	22
mwmatching	0	10	-	-	-	67	546	3	3	3
nbody	0	0	-	-	-	113	606	4	4	4
neural1	0	28	-	-	-	266	862	18	10	14
neural2	0	0	-	-	-	209	782	23	5	9
oliva2	0	0	-	-	-	201	683	10	4	6
othello	0	8	-	-	-	202	713	27	8	11
othello2	0	80	-	-	-	301	1090	12	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	852	8	7	7
pisang	0	0	-	-	-	348	892	21	6	8
plcfrs	1	342	-	-	-	1357	2696	129	27	48
pygasus	0	3	-	-	-	1657	3286	45	11	17
pygmy	0	0	-	-	-	807	3364	16	9	9
pylife	0	0	-	-	-	416	1308	23	7	12
pystone	0	0	-	-	-	171	662	10	5	7
quameon	1	104	-	-	-	1222	2700	113	17	33
rdb	1	117	-	-	-	1000	2381	109	16	35
richards	0	4	-	-	-	208	817	7	4	6
rsync	0	38	-	-	-	100	597	6	6	6
rubik	0	183	-	-	-	716	3530	109	11	20
rubik2	0	0	-	-	-	440	1033	44	8	20
sat	0	19	-	-	-	107	657	5	5	5
score4	0	0	-	-	-	224	744	13	8	11
sha	0	0	-	-	-	316	909	21	5	9
sieve	0	0	-	-	-	250	752	17	5	11
softrender	0	76	-	-	-	809	2006	62	15	24
sokoban	0	25	-	-	-	85	586	4	4	4
solitaire	0	6	-	-	-	238	847	26	8	9
stereo	0	0	-	-	-	143	696	8	6	8
sudoku1	0	9	-	-	-	219	821	13	7	9
sudoku2	0	0	-	-	-	467	1272	45	11	15
sudoku3	1	134	-	-	-	736	2060	41	11	20
sudoku4	0	45	-	-	-	485	1294	30	13	18
sudoku5	1	249	-	-	-	1104	2634	61	17	28
sunfish	0	51	-	-	-	112	806	13	4	6
tarsalzp	0	231	-	-	-	502	1692	10	5	7
tictactoe	0	0	-	-	-	375	1139	24	8	9
timsort	0	32	-	-	-	197	773	2	2	2
tonyjpegdecoder	0	0	-	-	-	570	1675	35	7	18
voronoi	0	0	-	-	-	158	645	9	5	5
voronoi2	0	49	-	-	-	454	1466	34	14	19
webserver	0	14	-	-	-	389	1118	18	9	10
yopyra	0	20	-	-	-	341	1049	13	10	10
DONE
