# key   compile__PYC_CSELEM_3__fc25f947+ca955581
# mode  compile   env: PYC_CSELEM=3
# tree  fc25f947+ca955581
# content 83343985db04
# date  2026-09-05T06:19:42-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	274	1139	15	5	6
adatron	0	10	-	-	-	422	1491	52	13	18
amaze	0	13	-	-	-	674	2629	53	11	17
ant	0	0	-	-	-	249	992	23	7	9
astar	0	0	-	-	-	48	530	5	2	2
bh	0	1	-	-	-	415	1582	22	8	13
block	0	0	-	-	-	301	1209	20	9	11
brainfuck	0	0	-	-	-	123	741	9	5	5
chaos	0	5	-	-	-	484	1652	34	9	17
chess	0	0	-	-	-	985	4126	75	12	19
chull	0	6	-	-	-	534	1731	54	14	29
circle	0	0	-	-	-	122	725	9	6	6
collatz	0	0	-	-	-	173	798	15	5	8
dijkstra	0	8	-	-	-	271	1158	21	6	8
dijkstra2	0	5	-	-	-	372	1475	48	15	21
doom	0	210	-	-	-	204	1145	31	7	10
fysphun	0	0	-	-	-	244	945	15	8	9
genetic	0	0	-	-	-	173	892	9	5	5
genetic2	0	3	-	-	-	401	1410	31	10	11
go	0	15	-	-	-	629	2156	37	12	15
hq2x	0	0	-	-	-	633	2830	24	5	6
kanoodle	0	6	-	-	-	548	1839	149	8	23
kmeanspp	0	4	-	-	-	66	618	6	3	3
life	0	17	-	-	-	244	1011	20	8	8
linalg	0	28	-	-	-	1005	3052	128	5	18
loop	0	0	-	-	-	349	1312	34	12	15
lz2	0	39	-	-	-	179	972	17	6	9
mandelbrot	0	0	-	-	-	97	627	6	3	3
mandelbrot2	0	0	-	-	-	285	1132	30	9	14
mao	0	3	-	-	-	319	1212	17	8	9
mastermind2	0	54	-	-	-	413	1566	35	8	9
minilight	0	14	-	-	-	224	1397	13	8	8
minpng	0	9	-	-	-	115	692	10	6	6
msp_ss	0	264	-	-	-	889	3433	99	15	23
mwmatching	0	10	-	-	-	67	616	7	4	4
nbody	0	0	-	-	-	113	722	8	5	5
neural1	0	28	-	-	-	278	1152	27	10	14
neural2	0	0	-	-	-	225	1017	32	5	9
oliva2	0	0	-	-	-	202	888	14	4	6
othello	0	8	-	-	-	209	935	32	8	11
othello2	0	80	-	-	-	312	1412	18	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	1059	11	7	7
pisang	0	0	-	-	-	362	1284	27	6	9
plcfrs	0	123	-	-	-	1257	3721	173	27	51
pygasus	0	3	-	-	-	1672	5035	119	11	19
pygmy	0	0	-	-	-	459	1903	20	9	10
pylife	0	0	-	-	-	459	1843	30	7	17
pystone	0	0	-	-	-	173	838	13	5	7
quameon	0	69	-	-	-	1125	3778	133	17	32
rdb	1	120	-	-	-	1083	3560	139	16	35
richards	0	4	-	-	-	221	1051	10	4	6
rsync	0	38	-	-	-	101	703	12	6	6
rubik	0	176	-	-	-	717	4139	126	11	21
rubik2	0	0	-	-	-	412	1398	43	8	20
sat	0	19	-	-	-	108	770	10	5	6
score4	0	0	-	-	-	224	972	18	8	11
sha	0	0	-	-	-	338	1296	38	5	9
sieve	0	0	-	-	-	249	1003	20	5	11
softrender	0	76	-	-	-	756	2768	66	15	26
sokoban	0	25	-	-	-	85	676	10	4	4
solitaire	0	6	-	-	-	250	1108	37	8	10
stereo	0	0	-	-	-	178	1150	192	6	9
sudoku1	0	15	-	-	-	240	1093	33	7	9
sudoku2	0	0	-	-	-	398	1612	36	11	15
sudoku3	0	48	-	-	-	404	1643	43	8	15
sudoku4	0	21	-	-	-	424	1555	41	14	16
sudoku5	1	212	-	-	-	856	3479	71	14	23
sunfish	0	55	-	-	-	118	931	20	4	7
tarsalzp	0	231	-	-	-	576	2357	36	5	7
tictactoe	0	0	-	-	-	373	1488	34	8	9
timsort	0	32	-	-	-	207	988	9	3	3
tonyjpegdecoder	0	0	-	-	-	585	2284	83	7	18
voronoi	0	0	-	-	-	158	805	12	5	5
voronoi2	0	27	-	-	-	452	1918	42	14	23
webserver	0	6	-	-	-	382	1511	30	9	10
yopyra	0	20	-	-	-	401	1549	19	10	10
DONE
