# key   compile__PYC_CSKEYSETS_1__04a17bf0+df693813
# mode  compile   env: PYC_CSKEYSETS=1
# tree  04a17bf0+df693813
# content 489a2c9e15df
# date  2026-09-14T18:38:41-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	214	826	6	4	5
adatron	0	0	-	-	-	423	1067	48	13	18
amaze	0	7	-	-	-	669	2006	45	11	17
ant	0	0	-	-	-	221	723	14	7	9
astar	0	0	-	-	-	48	482	2	2	2
bh	0	11	-	-	-	370	1136	16	8	12
block	0	0	-	-	-	278	895	12	9	11
brainfuck	0	0	-	-	-	122	616	4	4	4
chaos	0	0	-	-	-	455	1153	25	9	16
chess	0	0	-	-	-	562	1435	53	12	19
chull	1	0	-	-	-	568	1201	54	15	28
circle	0	0	-	-	-	122	602	5	5	5
collatz	0	0	-	-	-	168	620	8	5	7
dijkstra	0	6	-	-	-	283	905	19	6	8
dijkstra2	0	4	-	-	-	374	1090	39	15	21
doom	0	156	-	-	-	200	923	13	7	9
fysphun	0	0	-	-	-	247	702	10	8	9
genetic	0	0	-	-	-	173	719	6	5	5
genetic2	0	3	-	-	-	398	1004	25	10	11
go	0	10	-	-	-	652	1563	34	11	14
hq2x	0	0	-	-	-	603	2172	9	5	6
kanoodle	0	5	-	-	-	548	1296	137	8	19
kmeanspp	0	4	-	-	-	66	552	3	3	3
life	0	18	-	-	-	358	953	20	9	10
linalg	0	53	-	-	-	600	1364	43	4	10
loop	0	0	-	-	-	335	948	23	12	16
lz2	0	29	-	-	-	171	783	8	5	8
mandelbrot	0	0	-	-	-	97	529	2	2	2
mandelbrot2	0	0	-	-	-	282	844	26	9	14
mao	0	2	-	-	-	312	872	13	8	9
mastermind2	0	24	-	-	-	371	1121	20	8	9
minilight	0	9	-	-	-	222	1172	10	8	8
minpng	0	6	-	-	-	115	577	7	6	6
msp_ss	0	194	-	-	-	843	2494	76	14	21
mwmatching	0	7	-	-	-	67	548	3	3	3
nbody	0	0	-	-	-	113	608	4	4	4
neural1	0	14	-	-	-	264	861	17	10	14
neural2	0	0	-	-	-	220	784	23	4	8
oliva2	0	0	-	-	-	201	685	10	4	6
othello	0	0	-	-	-	286	882	33	9	14
othello2	0	46	-	-	-	302	1091	12	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	854	8	7	7
pisang	0	0	-	-	-	352	897	21	6	8
plcfrs	1	454	-	-	-	1535	5604	111	27	49
pygasus	0	2	-	-	-	1661	3288	45	11	17
pygmy	0	0	-	-	-	807	3366	16	9	9
pylife	0	0	-	-	-	456	1382	27	7	12
pystone	0	0	-	-	-	171	664	10	5	7
quameon	0	0	-	-	-	1225	2692	132	17	30
rdb	1	82	-	-	-	977	2370	105	16	34
richards	0	4	-	-	-	208	818	6	4	5
rsync	0	27	-	-	-	101	600	7	6	6
rubik	0	134	-	-	-	712	3500	108	11	20
rubik2	0	0	-	-	-	440	1036	45	8	20
sat	0	16	-	-	-	90	588	4	4	4
score4	0	0	-	-	-	224	746	13	8	11
sha	0	0	-	-	-	308	884	19	5	9
sieve	0	0	-	-	-	250	754	17	5	11
softrender	0	13	-	-	-	921	2211	73	15	25
sokoban	0	17	-	-	-	85	588	4	4	4
solitaire	0	1	-	-	-	239	848	26	8	9
stereo	0	0	-	-	-	178	972	189	6	9
sudoku1	0	7	-	-	-	219	825	13	7	9
sudoku2	0	0	-	-	-	470	1275	44	11	15
sudoku3	1	84	-	-	-	819	3059	40	11	19
sudoku4	1	39	-	-	-	491	1311	30	13	18
sudoku5	1	81	-	-	-	837	1611	59	13	19
sunfish	0	42	-	-	-	112	807	12	4	6
tarsalzp	0	170	-	-	-	499	1694	8	5	6
tictactoe	0	0	-	-	-	375	1141	24	8	9
timsort	0	0	-	-	-	226	988	3	3	3
tonyjpegdecoder	0	0	-	-	-	552	1648	36	6	17
voronoi	0	0	-	-	-	158	647	9	5	5
voronoi2	0	33	-	-	-	472	1500	36	14	19
webserver	0	7	-	-	-	389	1120	17	9	10
yopyra	0	0	-	-	-	342	1048	13	10	10
DONE
