# key   compile__PYC_ESPATH_1__4e25b3be+59972d51
# mode  compile   env: PYC_ESPATH=1
# tree  4e25b3be+59972d51
# content 33a88b87de44
# date  2026-09-11T10:56:36-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	243	985	14	5	6
adatron	0	10	-	-	-	415	1229	50	13	19
amaze	0	13	-	-	-	665	2167	52	11	17
ant	0	0	-	-	-	222	844	17	7	9
astar	0	0	-	-	-	48	530	5	2	2
bh	0	1	-	-	-	333	1303	19	8	13
block	0	0	-	-	-	302	1078	20	9	11
brainfuck	0	0	-	-	-	123	719	9	5	5
chaos	0	5	-	-	-	461	1326	31	9	16
chess	0	0	-	-	-	691	2325	62	12	19
chull	0	0	-	-	-	480	1300	51	14	27
circle	0	0	-	-	-	122	701	9	6	6
collatz	0	0	-	-	-	173	729	15	5	8
dijkstra	0	8	-	-	-	271	1028	21	6	8
dijkstra2	0	5	-	-	-	375	1243	47	15	21
doom	0	210	-	-	-	204	1084	30	7	10
fysphun	0	0	-	-	-	238	821	13	8	9
genetic	0	0	-	-	-	173	845	9	5	5
genetic2	0	3	-	-	-	396	1167	27	10	11
go	0	15	-	-	-	625	1707	37	12	15
hq2x	0	0	-	-	-	626	2392	20	5	6
kanoodle	0	6	-	-	-	490	1388	113	8	21
kmeanspp	0	4	-	-	-	66	615	6	3	3
life	0	17	-	-	-	246	902	20	8	8
linalg	0	38	-	-	-	617	1551	49	5	11
loop	0	0	-	-	-	350	1129	32	12	15
lz2	0	39	-	-	-	179	920	17	6	9
mandelbrot	0	0	-	-	-	97	616	6	3	3
mandelbrot2	0	0	-	-	-	285	979	30	9	14
mao	0	3	-	-	-	311	1025	17	8	9
mastermind2	0	54	-	-	-	384	1307	28	8	9
minilight	0	14	-	-	-	224	1309	13	8	8
minpng	0	9	-	-	-	115	666	10	6	6
msp_ss	0	235	-	-	-	834	2699	92	15	23
mwmatching	0	10	-	-	-	67	615	7	4	4
nbody	0	0	-	-	-	113	706	8	5	5
neural1	0	28	-	-	-	278	1032	27	10	14
neural2	0	0	-	-	-	219	914	29	5	9
oliva2	0	0	-	-	-	197	805	13	4	6
othello	0	13	-	-	-	224	875	31	8	11
othello2	0	82	-	-	-	308	1278	17	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	1012	11	7	7
pisang	0	0	-	-	-	366	1054	27	6	9
plcfrs	124	13	-	-	-	1208	3457	126	28	46
pygasus	0	3	-	-	-	1666	3882	113	11	19
pygmy	0	0	-	-	-	407	1556	20	9	9
pylife	0	0	-	-	-	416	1438	26	7	12
pystone	0	0	-	-	-	170	781	13	5	7
quameon	0	69	-	-	-	1079	2993	128	17	32
rdb	1	120	-	-	-	1034	2703	128	16	35
richards	0	4	-	-	-	208	979	10	4	6
rsync	0	38	-	-	-	101	691	12	6	6
rubik	0	177	-	-	-	721	3800	126	11	21
rubik2	0	0	-	-	-	361	1077	41	8	20
sat	0	19	-	-	-	108	755	10	5	6
score4	0	0	-	-	-	224	859	17	8	11
sha	0	0	-	-	-	290	1019	25	5	9
sieve	0	0	-	-	-	250	882	20	5	11
softrender	124	14	-	-	-	751	2242	64	15	26
sokoban	0	25	-	-	-	85	671	10	4	4
solitaire	0	6	-	-	-	238	987	30	8	10
stereo	0	0	-	-	-	166	1056	192	6	9
sudoku1	0	15	-	-	-	240	976	31	7	9
sudoku2	0	0	-	-	-	364	1321	30	11	15
sudoku3	0	36	-	-	-	410	1383	43	8	15
sudoku4	0	21	-	-	-	430	1336	41	14	16
sudoku5	1	135	-	-	-	778	2461	62	15	24
sunfish	0	55	-	-	-	118	904	20	4	7
tarsalzp	0	213	-	-	-	531	1889	27	5	7
tictactoe	0	0	-	-	-	378	1256	34	8	9
timsort	0	32	-	-	-	207	919	9	3	3
tonyjpegdecoder	0	0	-	-	-	559	1880	61	7	18
voronoi	0	0	-	-	-	158	748	12	5	5
voronoi2	0	27	-	-	-	445	1667	40	14	22
webserver	0	6	-	-	-	377	1276	27	9	10
yopyra	0	20	-	-	-	341	1231	16	10	10
DONE
