# key   compile__PYC_VIOLCS_3_PYC_CSMEMBER_1_PYC_CSCONTENT_1__5cb76a2b+09c163b7
# mode  compile   env: PYC_VIOLCS=3 PYC_CSMEMBER=1 PYC_CSCONTENT=1
# tree  5cb76a2b+09c163b7
# content 70d999351c9c
# date  2026-09-10T09:38:44-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	242	985	14	5	6
adatron	0	10	-	-	-	415	1229	50	13	19
amaze	0	13	-	-	-	678	2174	61	11	17
ant	0	0	-	-	-	222	844	17	7	9
astar	0	0	-	-	-	48	530	5	2	2
bh	0	1	-	-	-	370	1328	22	8	13
block	0	0	-	-	-	301	1078	20	9	11
brainfuck	0	0	-	-	-	123	719	9	5	5
chaos	0	5	-	-	-	461	1326	31	9	16
chess	0	0	-	-	-	686	2301	62	12	19
chull	0	6	-	-	-	537	1348	56	14	29
circle	0	0	-	-	-	122	701	9	6	6
collatz	0	0	-	-	-	173	729	15	5	8
dijkstra	0	8	-	-	-	271	1028	21	6	8
dijkstra2	0	5	-	-	-	375	1244	48	15	21
doom	0	210	-	-	-	204	1084	30	7	10
fysphun	0	0	-	-	-	238	821	13	8	9
genetic	0	0	-	-	-	173	845	9	5	5
genetic2	0	3	-	-	-	396	1168	28	10	11
go	0	15	-	-	-	622	1695	37	12	15
hq2x	0	0	-	-	-	626	2393	21	5	6
kanoodle	0	6	-	-	-	512	1410	124	8	21
kmeanspp	0	4	-	-	-	66	615	6	3	3
life	0	17	-	-	-	243	900	20	8	8
linalg	0	32	-	-	-	896	1936	67	5	12
loop	0	0	-	-	-	348	1128	32	12	15
lz2	0	39	-	-	-	179	920	17	6	9
mandelbrot	0	0	-	-	-	97	616	6	3	3
mandelbrot2	0	0	-	-	-	285	979	30	9	14
mao	0	3	-	-	-	311	1025	17	8	9
mastermind2	0	54	-	-	-	384	1307	28	8	9
minilight	0	14	-	-	-	224	1309	13	8	8
minpng	0	9	-	-	-	115	666	10	6	6
msp_ss	0	235	-	-	-	834	2699	92	15	23
mwmatching	0	10	-	-	-	67	615	7	4	4
nbody	0	0	-	-	-	113	706	8	5	5
neural1	0	28	-	-	-	278	1032	27	10	14
neural2	0	0	-	-	-	223	916	31	5	9
oliva2	0	0	-	-	-	197	805	13	4	6
othello	0	8	-	-	-	207	830	31	8	11
othello2	0	80	-	-	-	304	1260	17	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	1012	11	7	7
pisang	0	0	-	-	-	365	1056	28	6	9
plcfrs	0	129	-	-	-	1123	2566	140	26	47
pygasus	0	3	-	-	-	1666	3882	113	11	19
pygmy	0	0	-	-	-	447	1614	20	9	10
pylife	0	0	-	-	-	458	1511	30	7	17
pystone	0	0	-	-	-	170	781	13	5	7
quameon	0	69	-	-	-	1085	2995	128	17	32
rdb	1	120	-	-	-	1025	2701	130	16	35
richards	0	4	-	-	-	208	979	10	4	6
rsync	0	38	-	-	-	101	691	12	6	6
rubik	0	176	-	-	-	717	3612	127	11	21
rubik2	0	0	-	-	-	369	1085	42	8	20
sat	0	19	-	-	-	108	755	10	5	6
score4	0	0	-	-	-	224	860	18	8	11
sha	0	0	-	-	-	300	1026	28	5	9
sieve	0	0	-	-	-	250	882	20	5	11
softrender	0	76	-	-	-	751	2241	63	15	26
sokoban	0	25	-	-	-	85	671	10	4	4
solitaire	0	6	-	-	-	238	987	30	8	10
stereo	0	0	-	-	-	178	1056	192	6	9
sudoku1	0	15	-	-	-	240	976	31	7	9
sudoku2	0	0	-	-	-	368	1322	31	11	15
sudoku3	0	36	-	-	-	421	1393	47	8	15
sudoku4	0	21	-	-	-	424	1277	41	14	16
sudoku5	0	24	-	-	-	623	1632	64	14	19
sunfish	0	55	-	-	-	118	904	20	4	7
tarsalzp	0	213	-	-	-	542	1903	27	5	7
tictactoe	0	0	-	-	-	378	1256	34	8	9
timsort	0	32	-	-	-	211	923	11	3	3
tonyjpegdecoder	0	0	-	-	-	570	1889	70	7	18
voronoi	0	0	-	-	-	158	748	12	5	5
voronoi2	0	27	-	-	-	447	1670	42	14	23
webserver	0	6	-	-	-	378	1277	28	9	10
yopyra	0	20	-	-	-	393	1321	19	10	10
DONE
