# key   compile__default__3f0cb228+0439de14
# mode  compile   env: (default)
# tree  3f0cb228+0439de14
# content bdc852d41d39
# date  2026-09-10T20:23:25-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	242	985	14	5	6
adatron	0	10	-	-	-	423	1234	52	13	18
amaze	0	13	-	-	-	692	2247	69	11	17
ant	0	0	-	-	-	222	844	17	7	9
astar	0	0	-	-	-	48	530	5	2	2
bh	0	1	-	-	-	371	1328	22	8	13
block	0	0	-	-	-	301	1078	20	9	11
brainfuck	0	0	-	-	-	123	719	9	5	5
chaos	0	5	-	-	-	460	1326	31	9	16
chess	0	0	-	-	-	668	2291	61	12	19
chull	0	0	-	-	-	479	1315	51	14	27
circle	0	0	-	-	-	122	701	9	6	6
collatz	0	0	-	-	-	173	729	15	5	8
dijkstra	0	8	-	-	-	271	1028	21	6	8
dijkstra2	0	5	-	-	-	375	1243	47	15	21
doom	0	210	-	-	-	204	1084	30	7	10
fysphun	0	0	-	-	-	238	821	13	8	9
genetic	0	0	-	-	-	173	845	9	5	5
genetic2	0	3	-	-	-	395	1166	27	10	11
go	0	15	-	-	-	549	1625	36	12	16
hq2x	0	0	-	-	-	626	2392	20	5	6
kanoodle	0	6	-	-	-	487	1383	113	8	20
kmeanspp	0	4	-	-	-	66	615	6	3	3
life	0	17	-	-	-	244	901	20	8	8
linalg	1	62	-	-	-	514	1387	37	5	12
loop	0	0	-	-	-	348	1128	32	12	15
lz2	0	39	-	-	-	179	920	17	6	9
mandelbrot	0	0	-	-	-	97	616	6	3	3
mandelbrot2	0	0	-	-	-	285	979	30	9	14
mao	0	3	-	-	-	311	1025	17	8	9
mastermind2	0	54	-	-	-	403	1444	29	8	9
minilight	0	14	-	-	-	224	1309	13	8	8
minpng	0	9	-	-	-	115	666	10	6	6
msp_ss	0	235	-	-	-	840	2722	91	15	22
mwmatching	0	10	-	-	-	67	615	7	4	4
nbody	0	0	-	-	-	113	706	8	5	5
neural1	0	28	-	-	-	278	1032	27	10	14
neural2	0	0	-	-	-	228	917	32	5	9
oliva2	0	0	-	-	-	202	806	14	4	6
othello	0	8	-	-	-	207	830	31	8	11
othello2	0	80	-	-	-	304	1260	17	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	1012	11	7	7
pisang	0	0	-	-	-	366	1054	27	6	9
plcfrs	0	129	-	-	-	1083	2549	137	26	47
pygasus	0	3	-	-	-	1677	3887	118	11	19
pygmy	0	0	-	-	-	407	1556	20	9	9
pylife	0	0	-	-	-	457	1511	30	7	17
pystone	0	0	-	-	-	173	781	13	5	7
quameon	0	69	-	-	-	1094	3001	131	17	32
rdb	1	120	-	-	-	1009	2689	127	16	34
richards	0	4	-	-	-	208	979	10	4	6
rsync	0	38	-	-	-	101	691	12	6	6
rubik	0	176	-	-	-	717	3611	126	11	21
rubik2	0	0	-	-	-	339	1060	38	8	20
sat	0	19	-	-	-	108	755	10	5	6
score4	0	0	-	-	-	224	859	17	8	11
sha	0	0	-	-	-	275	1003	22	5	9
sieve	0	0	-	-	-	250	882	20	5	11
softrender	0	76	-	-	-	753	2241	63	15	26
sokoban	0	25	-	-	-	85	671	10	4	4
solitaire	0	6	-	-	-	238	987	30	8	10
stereo	0	0	-	-	-	178	1056	192	6	9
sudoku1	0	15	-	-	-	240	976	31	7	9
sudoku2	0	0	-	-	-	382	1339	34	11	15
sudoku3	0	36	-	-	-	406	1372	41	8	15
sudoku4	0	21	-	-	-	424	1277	41	14	16
sudoku5	1	80	-	-	-	696	2143	61	16	24
sunfish	0	55	-	-	-	118	904	20	4	7
tarsalzp	0	231	-	-	-	570	2043	26	5	7
tictactoe	0	0	-	-	-	378	1256	34	8	9
timsort	0	32	-	-	-	207	919	9	3	3
tonyjpegdecoder	0	0	-	-	-	557	1879	60	7	18
voronoi	0	0	-	-	-	158	748	12	5	5
voronoi2	0	27	-	-	-	445	1667	40	14	22
webserver	0	6	-	-	-	382	1278	29	9	10
yopyra	0	20	-	-	-	341	1231	16	10	10
DONE
