# key   compile__default__4509936e+12802374
# mode  compile   env: (default)
# tree  4509936e+12802374
# content ec474c9af948
# date  2026-09-12T06:57:21-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	242	986	14	5	6
adatron	0	0	-	-	-	416	1229	50	13	19
amaze	0	7	-	-	-	666	2168	52	11	17
ant	0	0	-	-	-	222	845	17	7	9
astar	0	0	-	-	-	48	531	5	2	2
bh	0	1	-	-	-	370	1329	22	8	13
block	0	0	-	-	-	301	1079	20	9	11
brainfuck	0	0	-	-	-	123	720	9	5	5
chaos	0	0	-	-	-	459	1325	31	9	16
chess	0	0	-	-	-	686	2302	62	12	19
chull	0	0	-	-	-	481	1302	51	14	27
circle	0	0	-	-	-	122	702	9	6	6
collatz	0	0	-	-	-	173	730	15	5	8
dijkstra	0	6	-	-	-	271	1029	21	6	8
dijkstra2	0	4	-	-	-	375	1244	47	15	21
doom	0	157	-	-	-	204	1085	30	7	10
fysphun	0	0	-	-	-	238	822	13	8	9
genetic	0	0	-	-	-	173	846	9	5	5
genetic2	0	3	-	-	-	396	1168	27	10	11
go	0	10	-	-	-	622	1696	37	12	15
hq2x	0	0	-	-	-	626	2393	20	5	6
kanoodle	0	5	-	-	-	491	1390	113	8	21
kmeanspp	0	4	-	-	-	66	616	6	3	3
life	0	12	-	-	-	243	901	20	8	8
linalg	0	33	-	-	-	617	1552	49	5	11
loop	0	0	-	-	-	348	1129	32	12	15
lz2	0	29	-	-	-	179	921	17	6	9
mandelbrot	0	0	-	-	-	97	617	6	3	3
mandelbrot2	0	0	-	-	-	285	980	30	9	14
mao	0	2	-	-	-	311	1026	17	8	9
mastermind2	0	34	-	-	-	385	1307	28	8	9
minilight	0	9	-	-	-	224	1310	13	8	8
minpng	0	6	-	-	-	115	667	10	6	6
msp_ss	0	174	-	-	-	834	2700	92	15	23
mwmatching	0	7	-	-	-	67	616	7	4	4
nbody	0	0	-	-	-	113	707	8	5	5
neural1	0	14	-	-	-	279	1032	27	10	14
neural2	0	0	-	-	-	219	915	29	5	9
oliva2	0	0	-	-	-	197	806	13	4	6
othello	0	0	-	-	-	329	1142	40	9	15
othello2	0	46	-	-	-	305	1260	17	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	1013	11	7	7
pisang	0	0	-	-	-	366	1055	27	6	9
plcfrs	0	97	-	-	-	1090	2553	137	26	47
pygasus	0	2	-	-	-	1666	3883	113	11	19
pygmy	0	0	-	-	-	407	1557	20	9	9
pylife	0	0	-	-	-	416	1439	26	7	12
pystone	0	0	-	-	-	170	782	13	5	7
quameon	0	0	-	-	-	1091	3003	128	17	32
rdb	1	88	-	-	-	1033	2702	128	16	35
richards	0	4	-	-	-	208	980	10	4	6
rsync	0	27	-	-	-	101	692	12	6	6
rubik	0	129	-	-	-	713	3580	125	11	21
rubik2	0	0	-	-	-	361	1078	41	8	20
sat	0	16	-	-	-	90	675	9	4	5
score4	0	0	-	-	-	224	860	17	8	11
sha	0	0	-	-	-	290	1020	25	5	9
sieve	0	0	-	-	-	250	883	20	5	11
softrender	0	13	-	-	-	871	2455	75	15	27
sokoban	0	17	-	-	-	85	672	10	4	4
solitaire	0	1	-	-	-	239	988	30	8	10
stereo	0	0	-	-	-	178	1057	192	6	9
sudoku1	0	12	-	-	-	241	978	31	7	9
sudoku2	0	0	-	-	-	366	1324	30	11	15
sudoku3	0	0	-	-	-	454	1855	49	8	16
sudoku4	0	15	-	-	-	424	1278	41	14	16
sudoku5	0	19	-	-	-	643	1636	64	14	19
sunfish	0	46	-	-	-	118	905	20	4	7
tarsalzp	0	170	-	-	-	562	2031	26	5	7
tictactoe	0	0	-	-	-	378	1257	34	8	9
timsort	0	0	-	-	-	236	1145	10	4	4
tonyjpegdecoder	0	0	-	-	-	559	1881	61	7	18
voronoi	0	0	-	-	-	158	749	12	5	5
voronoi2	0	17	-	-	-	446	1668	40	14	22
webserver	0	4	-	-	-	378	1278	27	9	10
yopyra	0	0	-	-	-	342	1229	16	10	10
DONE
