# key   compile__default__de1f14dc+1f4254e8
# mode  compile   env: (default)
# tree  de1f14dc+1f4254e8
# content df7d562fe580
# date  2026-09-12T14:49:32-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	242	987	14	5	6
adatron	0	0	-	-	-	416	1230	50	13	19
amaze	0	7	-	-	-	666	2169	52	11	17
ant	0	0	-	-	-	222	846	17	7	9
astar	0	0	-	-	-	48	532	5	2	2
bh	0	1	-	-	-	370	1330	22	8	13
block	0	0	-	-	-	301	1080	20	9	11
brainfuck	0	0	-	-	-	123	721	9	5	5
chaos	0	0	-	-	-	459	1326	31	9	16
chess	0	0	-	-	-	685	2303	62	12	19
chull	0	0	-	-	-	481	1303	51	14	27
circle	0	0	-	-	-	122	703	9	6	6
collatz	0	0	-	-	-	173	731	15	5	8
dijkstra	0	6	-	-	-	271	1030	21	6	8
dijkstra2	0	4	-	-	-	375	1245	47	15	21
doom	0	157	-	-	-	204	1086	30	7	10
fysphun	0	0	-	-	-	238	823	13	8	9
genetic	0	0	-	-	-	173	847	9	5	5
genetic2	0	3	-	-	-	396	1169	27	10	11
go	0	10	-	-	-	622	1697	37	12	15
hq2x	0	0	-	-	-	626	2394	20	5	6
kanoodle	0	5	-	-	-	491	1391	113	8	21
kmeanspp	0	4	-	-	-	66	617	6	3	3
life	0	18	-	-	-	354	1096	23	9	10
linalg	0	33	-	-	-	617	1553	49	5	11
loop	0	0	-	-	-	348	1130	32	12	15
lz2	0	29	-	-	-	179	922	17	6	9
mandelbrot	0	0	-	-	-	97	618	6	3	3
mandelbrot2	0	0	-	-	-	285	981	30	9	14
mao	0	2	-	-	-	311	1027	17	8	9
mastermind2	0	34	-	-	-	385	1308	28	8	9
minilight	0	9	-	-	-	224	1311	13	8	8
minpng	0	6	-	-	-	115	668	10	6	6
msp_ss	0	174	-	-	-	834	2701	92	15	23
mwmatching	0	7	-	-	-	67	617	7	4	4
nbody	0	0	-	-	-	113	708	8	5	5
neural1	0	14	-	-	-	279	1033	27	10	14
neural2	0	0	-	-	-	219	916	29	5	9
oliva2	0	0	-	-	-	197	807	13	4	6
othello	0	0	-	-	-	329	1143	40	9	15
othello2	0	46	-	-	-	305	1261	17	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	1014	11	7	7
pisang	0	0	-	-	-	366	1056	27	6	9
plcfrs	0	97	-	-	-	1090	2554	137	26	47
pygasus	0	2	-	-	-	1666	3884	113	11	19
pygmy	0	0	-	-	-	407	1558	20	9	9
pylife	0	0	-	-	-	416	1440	26	7	12
pystone	0	0	-	-	-	170	783	13	5	7
quameon	0	0	-	-	-	1091	3004	128	17	32
rdb	1	88	-	-	-	1033	2703	128	16	35
richards	0	4	-	-	-	208	981	10	4	6
rsync	0	27	-	-	-	101	693	12	6	6
rubik	0	129	-	-	-	713	3581	125	11	21
rubik2	0	0	-	-	-	361	1079	41	8	20
sat	0	16	-	-	-	90	676	9	4	5
score4	0	0	-	-	-	224	861	17	8	11
sha	0	0	-	-	-	290	1021	25	5	9
sieve	0	0	-	-	-	250	884	20	5	11
softrender	0	13	-	-	-	871	2456	75	15	27
sokoban	0	17	-	-	-	85	673	10	4	4
solitaire	0	1	-	-	-	239	989	30	8	10
stereo	0	0	-	-	-	178	1058	192	6	9
sudoku1	0	12	-	-	-	241	979	31	7	9
sudoku2	0	0	-	-	-	368	1325	30	11	15
sudoku3	0	0	-	-	-	454	1856	49	8	16
sudoku4	0	15	-	-	-	424	1279	41	14	16
sudoku5	0	19	-	-	-	643	1637	64	14	19
sunfish	0	46	-	-	-	118	906	20	4	7
tarsalzp	0	170	-	-	-	562	2034	26	5	7
tictactoe	0	0	-	-	-	378	1258	34	8	9
timsort	0	0	-	-	-	236	1146	10	4	4
tonyjpegdecoder	0	0	-	-	-	559	1882	61	7	18
voronoi	0	0	-	-	-	158	750	12	5	5
voronoi2	0	17	-	-	-	446	1669	40	14	22
webserver	0	4	-	-	-	378	1279	27	9	10
yopyra	0	0	-	-	-	342	1230	16	10	10
DONE
