# key   run__PYC_CSDCPA1_2_PYC_CSLADDER_3__7392cc64+3e48560d
# mode  run   env: PYC_CSDCPA1=2 PYC_CSLADDER=3
# tree  7392cc64+3e48560d
# content c55846e2b527
# date  2026-09-08T14:55:47-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	-	-	243	847	7	4	5
adatron	0	10	134	-	-	421	1066	48	13	18
amaze	0	13	134	-	-	695	2016	46	11	17
ant	0	0	0	-	-	264	748	20	7	9
astar	0	0	0	-	-	48	480	2	2	2
bh	0	11	134	-	-	372	1136	17	9	13
block	0	0	0	-	-	278	893	12	9	11
brainfuck	0	0	0	-	-	122	615	5	5	5
chaos	0	5	0	-	-	491	1197	30	9	16
chess	0	0	124	-	-	560	1432	53	12	19
chull	1	0	-	-	-	559	1193	51	15	28
circle	0	0	0	-	-	122	601	6	6	6
collatz	0	0	0	-	-	168	619	9	5	8
dijkstra	0	8	0	-	-	283	903	19	6	8
dijkstra2	0	5	124	-	-	373	1090	41	15	21
doom	0	210	134	-	-	201	922	14	7	9
fysphun	0	0	0	-	-	247	699	9	7	8
genetic	0	0	0	-	-	173	717	6	5	5
genetic2	0	3	134	-	-	398	1007	28	10	11
go	0	15	0	-	-	655	1542	36	12	15
hq2x	0	0	0	-	-	606	2172	10	5	6
kanoodle	0	6	139	-	-	530	1271	120	8	19
kmeanspp	0	4	134	-	-	66	550	3	3	3
life	0	17	134	-	-	242	759	17	8	8
linalg	0	112	134	-	-	652	1427	51	4	13
loop	0	0	124	-	-	335	946	23	12	16
lz2	0	39	134	-	-	171	781	8	5	8
mandelbrot	0	0	0	-	-	97	527	2	2	2
mandelbrot2	0	0	0	-	-	307	874	29	9	14
mao	0	3	0	-	-	312	870	13	8	9
mastermind2	0	42	134	-	-	370	1120	20	8	9
minilight	0	14	134	-	-	222	1170	10	8	8
minpng	0	9	0	-	-	115	573	5	5	5
msp_ss	0	264	0	-	-	862	2499	82	15	22
mwmatching	0	10	134	-	-	67	546	3	3	3
nbody	0	0	0	-	-	113	606	4	4	4
neural1	0	28	139	-	-	266	862	18	10	14
neural2	0	0	0	-	-	209	782	23	5	9
oliva2	0	0	0	-	-	201	683	10	4	6
othello	0	8	134	-	-	202	713	27	8	11
othello2	0	80	134	-	-	301	1090	12	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	-	-	205	852	8	7	7
pisang	0	0	134	-	-	348	892	21	6	8
plcfrs	1	305	-	-	-	1241	2443	131	27	48
pygasus	0	53	134	-	-	1662	3345	103	7	14
pygmy	0	0	0	-	-	807	3364	16	9	9
pylife	0	0	124	-	-	416	1308	23	7	12
pystone	0	0	0	-	-	171	662	10	5	7
quameon	1	104	-	-	-	1222	2700	113	17	33
rdb	1	117	-	-	-	1003	2381	109	16	35
richards	0	7	139	-	-	210	816	6	5	6
rsync	0	38	134	-	-	100	597	6	6	6
rubik	0	183	134	-	-	716	3530	109	11	20
rubik2	0	0	124	-	-	440	1032	43	8	20
sat	0	19	134	-	-	107	657	5	5	5
score4	0	0	0	-	-	224	744	13	8	11
sha	0	0	0	-	-	318	911	22	4	8
sieve	0	0	0	-	-	250	752	17	5	11
softrender	0	76	134	-	-	809	2006	62	15	24
sokoban	0	25	0	-	-	85	586	4	4	4
solitaire	0	6	124	-	-	238	847	26	8	9
stereo	0	0	0	-	-	143	696	8	6	8
sudoku1	0	9	0	-	-	219	821	13	7	9
sudoku2	0	0	0	-	-	467	1272	45	11	15
sudoku3	1	134	-	-	-	736	2060	41	11	20
sudoku4	0	45	134	-	-	485	1294	30	13	18
sudoku5	139	16	-	-	-	1104	2634	61	17	28
sunfish	0	51	134	-	-	112	806	13	4	6
tarsalzp	0	231	139	-	-	502	1692	10	5	7
tictactoe	0	0	0	-	-	375	1139	24	8	9
timsort	0	32	134	-	-	197	773	2	2	2
tonyjpegdecoder	0	0	124	-	-	570	1675	35	7	18
voronoi	0	0	0	-	-	158	645	9	5	5
voronoi2	0	45	0	-	-	444	1460	33	14	19
webserver	0	14	124	-	-	389	1118	18	9	10
yopyra	0	20	124	-	-	341	1049	13	10	10
DONE
