# key   run__PYC_HARDREUSE_4__1fb1a7fa+ce202159
# mode  run   env: PYC_HARDREUSE=4
# tree  1fb1a7fa+ce202159
# content a8b0e66c9661
# date  2026-09-08T12:30:04-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	-	-	242	985	14	5	6
adatron	0	10	134	-	-	415	1229	50	13	19
amaze	0	13	134	-	-	665	2167	52	11	17
ant	0	0	0	-	-	222	844	17	7	9
astar	0	0	0	-	-	48	530	5	2	2
bh	0	1	0	-	-	324	1289	19	8	13
block	0	0	0	-	-	301	1078	20	9	11
brainfuck	0	0	0	-	-	123	719	9	5	5
chaos	1	98	-	-	-	477	1368	35	11	20
chess	0	0	124	-	-	686	2301	62	12	19
chull	0	0	139	-	-	480	1300	51	14	27
circle	0	0	0	-	-	122	701	9	6	6
collatz	0	0	0	-	-	173	729	15	5	8
dijkstra	0	8	0	-	-	271	1028	21	6	8
dijkstra2	1	36	-	-	-	424	1290	44	14	21
doom	0	210	134	-	-	204	1084	30	7	10
fysphun	0	0	0	-	-	207	797	13	8	8
genetic	0	0	0	-	-	173	845	9	5	5
genetic2	0	3	134	-	-	322	1072	23	10	11
go	0	15	0	-	-	454	1460	35	12	15
hq2x	0	0	0	-	-	626	2392	20	5	6
kanoodle	0	6	0	-	-	490	1388	113	8	21
kmeanspp	0	4	134	-	-	66	615	6	3	3
life	0	17	134	-	-	243	900	20	8	8
linalg	0	38	134	-	-	617	1551	49	5	11
loop	0	0	124	-	-	348	1128	32	12	15
lz2	0	39	134	-	-	179	920	17	6	9
mandelbrot	0	0	0	-	-	97	616	6	3	3
mandelbrot2	0	0	0	-	-	285	979	30	9	14
mao	0	3	0	-	-	311	1025	17	8	9
mastermind2	0	54	134	-	-	384	1307	28	8	9
minilight	0	14	134	-	-	224	1309	13	8	8
minpng	0	9	0	-	-	115	666	10	6	6
msp_ss	0	235	0	-	-	834	2699	92	15	23
mwmatching	0	10	134	-	-	67	615	7	4	4
nbody	0	0	0	-	-	113	706	8	5	5
neural1	0	28	139	-	-	278	1032	27	10	14
neural2	0	0	0	-	-	219	914	29	5	9
oliva2	0	0	0	-	-	197	805	13	4	6
othello	0	8	134	-	-	207	830	31	8	11
othello2	0	80	134	-	-	304	1260	17	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	-	-	205	1012	11	7	7
pisang	0	0	134	-	-	366	1054	27	6	9
plcfrs	1	266	-	-	-	1123	2582	126	26	46
pygasus	0	53	134	-	-	1664	3878	109	7	15
pygmy	0	0	0	-	-	345	1406	20	9	9
pylife	0	0	124	-	-	375	1382	22	7	12
pystone	0	0	0	-	-	170	781	13	5	7
quameon	0	69	134	-	-	1068	2987	128	17	32
rdb	1	120	-	-	-	1032	2702	128	16	35
richards	0	4	0	-	-	208	979	10	4	6
rsync	0	38	134	-	-	101	691	12	6	6
rubik	0	176	134	-	-	717	3611	126	11	21
rubik2	0	0	124	-	-	361	1077	41	8	20
sat	0	19	134	-	-	108	755	10	5	6
score4	0	0	0	-	-	224	859	17	8	11
sha	0	0	0	-	-	290	1019	25	5	9
sieve	0	0	0	-	-	250	882	20	5	11
softrender	0	76	134	-	-	716	2074	62	15	26
sokoban	0	25	0	-	-	85	671	10	4	4
solitaire	0	6	124	-	-	238	987	30	8	10
stereo	0	0	0	-	-	178	1056	192	6	9
sudoku1	0	15	0	-	-	240	976	31	7	9
sudoku2	0	0	0	-	-	364	1321	30	11	15
sudoku3	0	30	134	-	-	401	1291	43	8	15
sudoku4	0	21	134	-	-	424	1277	41	14	16
sudoku5	1	75	-	-	-	743	1971	64	15	22
sunfish	0	55	134	-	-	118	904	20	4	7
tarsalzp	0	231	139	-	-	561	2030	26	5	7
tictactoe	0	0	0	-	-	379	1256	34	8	9
timsort	0	32	134	-	-	207	919	9	3	3
tonyjpegdecoder	0	0	124	-	-	559	1880	61	7	18
voronoi	0	0	0	-	-	158	748	12	5	5
voronoi2	0	27	0	-	-	442	1667	40	14	22
webserver	1	29	-	-	-	391	1296	29	8	9
yopyra	0	20	124	-	-	341	1231	16	10	10
DONE
